crop_id,image_uid,split,source,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,object_window_px,upsample_factor,high_upsample,box_fill
bg_negative_image_nwpu_background_012_000,nwpu_background_012,train,negative_image,0,background,365,377,493,466,11392,1027,552,rgb,,141,1.589,False,0.573
bg_negative_image_nwpu_background_012_001,nwpu_background_012,train,negative_image,0,background,164,11,208,68,2508,1027,552,rgb,,63,3.556,False,0.632
bg_negative_image_nwpu_background_012_002,nwpu_background_012,train,negative_image,0,background,678,200,767,319,10591,1027,552,rgb,,131,1.71,False,0.617
bg_negative_image_nwpu_background_012_003,nwpu_background_012,train,negative_image,0,background,154,244,225,309,4615,1027,552,rgb,,78,2.872,False,0.759
bg_negative_image_nwpu_background_013_000,nwpu_background_013,train,negative_image,0,background,507,240,568,285,2745,789,584,rgb,,67,3.343,False,0.611
bg_negative_image_nwpu_background_013_001,nwpu_background_013,train,negative_image,0,background,274,157,345,219,4402,789,584,rgb,,78,2.872,False,0.724
bg_negative_image_nwpu_background_013_002,nwpu_background_013,train,negative_image,0,background,269,47,314,100,2385,789,584,rgb,,58,3.862,False,0.709
bg_negative_image_nwpu_background_013_003,nwpu_background_013,train,negative_image,0,background,84,524,160,563,2964,789,584,rgb,,84,2.667,False,0.42
bg_negative_image_nwpu_background_015_000,nwpu_background_015,train,negative_image,0,background,559,137,611,187,2600,851,567,rgb,,57,3.93,False,0.8
bg_negative_image_nwpu_background_015_001,nwpu_background_015,train,negative_image,0,background,742,390,827,456,5610,851,567,rgb,,94,2.383,False,0.635
bg_negative_image_nwpu_background_015_002,nwpu_background_015,train,negative_image,0,background,323,128,456,224,12768,851,567,rgb,,146,1.534,False,0.599
bg_negative_image_nwpu_background_015_003,nwpu_background_015,train,negative_image,0,background,78,483,121,515,1376,851,567,rgb,,47,4.766,False,0.623
bg_negative_image_nwpu_background_016_000,nwpu_background_016,train,negative_image,0,background,123,148,207,207,4956,693,543,rgb,,92,2.435,False,0.586
bg_negative_image_nwpu_background_016_001,nwpu_background_016,train,negative_image,0,background,362,84,430,154,4760,693,543,rgb,,77,2.909,False,0.803
bg_negative_image_nwpu_background_016_002,nwpu_background_016,train,negative_image,0,background,471,345,543,408,4536,693,543,rgb,,79,2.835,False,0.727
bg_negative_image_nwpu_background_016_003,nwpu_background_016,train,negative_image,0,background,277,322,328,351,1479,693,543,rgb,,56,4.0,False,0.472
bg_negative_image_nwpu_background_017_000,nwpu_background_017,train,negative_image,0,background,545,44,600,84,2200,894,558,rgb,,61,3.672,False,0.591
bg_negative_image_nwpu_background_017_001,nwpu_background_017,train,negative_image,0,background,344,20,410,98,5148,894,558,rgb,,86,2.605,False,0.696
bg_negative_image_nwpu_background_017_002,nwpu_background_017,train,negative_image,0,background,277,71,331,136,3510,894,558,rgb,,72,3.111,False,0.677
bg_negative_image_nwpu_background_017_003,nwpu_background_017,train,negative_image,0,background,87,300,136,347,2303,894,558,rgb,,54,4.148,False,0.79
bg_negative_image_nwpu_background_018_000,nwpu_background_018,train,negative_image,0,background,797,293,869,349,4032,934,561,rgb,,79,2.835,False,0.646
bg_negative_image_nwpu_background_018_001,nwpu_background_018,train,negative_image,0,background,307,303,356,351,2352,934,561,rgb,,54,4.148,False,0.807
bg_negative_image_nwpu_background_018_002,nwpu_background_018,train,negative_image,0,background,730,161,902,388,39044,934,561,rgb,,250,0.896,False,0.625
bg_negative_image_nwpu_background_018_003,nwpu_background_018,train,negative_image,0,background,672,40,748,114,5624,934,561,rgb,,84,2.667,False,0.797
bg_negative_image_nwpu_background_019_000,nwpu_background_019,train,negative_image,0,background,364,260,512,561,44548,889,578,rgb,,331,0.677,False,0.407
bg_negative_image_nwpu_background_019_001,nwpu_background_019,train,negative_image,0,background,480,249,529,301,2548,889,578,rgb,,57,3.93,False,0.784
bg_negative_image_nwpu_background_019_002,nwpu_background_019,train,negative_image,0,background,273,287,338,314,1755,889,578,rgb,,72,3.111,False,0.339
bg_negative_image_nwpu_background_019_003,nwpu_background_019,train,negative_image,0,background,367,11,419,62,2652,889,578,rgb,,57,3.93,False,0.816
bg_negative_image_nwpu_background_020_000,nwpu_background_020,train,negative_image,0,background,749,75,838,99,2136,925,558,rgb,,98,2.286,False,0.222
bg_negative_image_nwpu_background_020_001,nwpu_background_020,train,negative_image,0,background,491,54,529,117,2394,925,558,rgb,,69,3.246,False,0.503
bg_negative_image_nwpu_background_020_002,nwpu_background_020,train,negative_image,0,background,251,338,282,384,1426,925,558,rgb,,51,4.392,False,0.548
bg_negative_image_nwpu_background_020_003,nwpu_background_020,train,negative_image,0,background,636,405,686,436,1550,925,558,rgb,,55,4.073,False,0.512
bg_negative_image_nwpu_background_021_000,nwpu_background_021,train,negative_image,0,background,682,118,763,177,4779,826,571,rgb,,89,2.517,False,0.603
bg_negative_image_nwpu_background_021_001,nwpu_background_021,train,negative_image,0,background,28,284,96,343,4012,826,571,rgb,,75,2.987,False,0.713
bg_negative_image_nwpu_background_021_002,nwpu_background_021,train,negative_image,0,background,592,428,704,469,4592,826,571,rgb,,123,1.821,False,0.304
bg_negative_image_nwpu_background_021_003,nwpu_background_021,train,negative_image,0,background,250,477,287,547,2590,826,571,rgb,,77,2.909,False,0.437
bg_negative_image_nwpu_background_022_000,nwpu_background_022,val,negative_image,0,background,387,125,453,173,3168,818,536,rgb,,73,3.068,False,0.594
bg_negative_image_nwpu_background_022_001,nwpu_background_022,val,negative_image,0,background,720,78,769,138,2940,818,536,rgb,,66,3.394,False,0.675
bg_negative_image_nwpu_background_022_002,nwpu_background_022,val,negative_image,0,background,332,484,387,532,2640,818,536,rgb,,61,3.672,False,0.709
bg_negative_image_nwpu_background_022_003,nwpu_background_022,val,negative_image,0,background,679,348,735,419,3976,818,536,rgb,,78,2.872,False,0.654
bg_negative_image_nwpu_background_024_000,nwpu_background_024,train,negative_image,0,background,807,244,894,322,6786,990,549,rgb,,96,2.333,False,0.736
bg_negative_image_nwpu_background_024_001,nwpu_background_024,train,negative_image,0,background,292,326,359,453,8509,990,549,rgb,,140,1.6,False,0.434
bg_negative_image_nwpu_background_024_002,nwpu_background_024,train,negative_image,0,background,307,41,475,157,19488,990,549,rgb,,185,1.211,False,0.569
bg_negative_image_nwpu_background_024_003,nwpu_background_024,train,negative_image,0,background,697,135,754,171,2052,990,549,rgb,,63,3.556,False,0.517
bg_negative_image_nwpu_background_027_000,nwpu_background_027,train,negative_image,0,background,193,61,295,156,9690,903,591,rgb,,112,2.0,False,0.772
bg_negative_image_nwpu_background_027_001,nwpu_background_027,train,negative_image,0,background,605,78,780,163,14875,903,591,rgb,,193,1.161,False,0.399
bg_negative_image_nwpu_background_027_002,nwpu_background_027,train,negative_image,0,background,504,464,566,524,3720,903,591,rgb,,68,3.294,False,0.804
bg_negative_image_nwpu_background_027_003,nwpu_background_027,train,negative_image,0,background,167,163,222,229,3630,903,591,rgb,,73,3.068,False,0.681
bg_negative_image_nwpu_background_028_000,nwpu_background_028,train,negative_image,0,background,786,253,879,332,7347,902,585,rgb,,102,2.196,False,0.706
bg_negative_image_nwpu_background_028_001,nwpu_background_028,train,negative_image,0,background,123,7,170,66,2773,902,585,rgb,,65,3.446,False,0.656
bg_negative_image_nwpu_background_028_002,nwpu_background_028,train,negative_image,0,background,113,367,157,411,1936,902,585,rgb,,48,4.667,False,0.84
bg_negative_image_nwpu_background_028_003,nwpu_background_028,train,negative_image,0,background,65,199,435,391,71040,902,585,rgb,,407,0.55,False,0.429
bg_negative_image_nwpu_background_029_000,nwpu_background_029,train,negative_image,0,background,557,98,642,173,6375,1043,565,rgb,,94,2.383,False,0.721
bg_negative_image_nwpu_background_029_001,nwpu_background_029,train,negative_image,0,background,806,371,847,418,1927,1043,565,rgb,,52,4.308,False,0.713
bg_negative_image_nwpu_background_029_002,nwpu_background_029,train,negative_image,0,background,126,59,210,146,7308,1043,565,rgb,,96,2.333,False,0.793
bg_negative_image_nwpu_background_029_003,nwpu_background_029,train,negative_image,0,background,923,210,971,247,1776,1043,565,rgb,,53,4.226,False,0.632
bg_negative_image_nwpu_background_030_000,nwpu_background_030,val,negative_image,0,background,421,329,466,404,3375,906,572,rgb,,82,2.732,False,0.502
bg_negative_image_nwpu_background_030_001,nwpu_background_030,val,negative_image,0,background,792,145,869,212,5159,906,572,rgb,,85,2.635,False,0.714
bg_negative_image_nwpu_background_030_002,nwpu_background_030,val,negative_image,0,background,20,296,117,335,3783,906,572,rgb,,107,2.093,False,0.33
bg_negative_image_nwpu_background_030_003,nwpu_background_030,val,negative_image,0,background,538,55,596,106,2958,906,572,rgb,,64,3.5,False,0.722
bg_negative_image_nwpu_background_031_000,nwpu_background_031,train,negative_image,0,background,337,527,384,551,1128,852,569,rgb,,52,4.308,False,0.417
bg_negative_image_nwpu_background_031_001,nwpu_background_031,train,negative_image,0,background,465,478,537,535,4104,852,569,rgb,,79,2.835,False,0.658
bg_negative_image_nwpu_background_031_002,nwpu_background_031,train,negative_image,0,background,374,417,426,455,1976,852,569,rgb,,57,3.93,False,0.608
bg_negative_image_nwpu_background_031_003,nwpu_background_031,train,negative_image,0,background,15,56,53,111,2090,852,569,rgb,,61,3.672,False,0.562
bg_negative_image_nwpu_background_032_000,nwpu_background_032,val,negative_image,0,background,715,119,806,178,5369,988,571,rgb,,100,2.24,False,0.537
bg_negative_image_nwpu_background_032_001,nwpu_background_032,val,negative_image,0,background,503,319,543,363,1760,988,571,rgb,,48,4.667,False,0.764
bg_negative_image_nwpu_background_032_002,nwpu_background_032,val,negative_image,0,background,459,199,686,288,20203,988,571,rgb,,250,0.896,False,0.323
bg_negative_image_nwpu_background_032_003,nwpu_background_032,val,negative_image,0,background,312,227,466,265,5852,988,571,rgb,,169,1.325,False,0.205
bg_negative_image_nwpu_background_034_000,nwpu_background_034,train,negative_image,0,background,756,217,846,301,7560,962,561,rgb,,99,2.263,False,0.771
bg_negative_image_nwpu_background_034_001,nwpu_background_034,train,negative_image,0,background,222,123,287,163,2600,962,561,rgb,,72,3.111,False,0.502
bg_negative_image_nwpu_background_034_002,nwpu_background_034,train,negative_image,0,background,720,51,800,125,5920,962,561,rgb,,88,2.545,False,0.764
bg_negative_image_nwpu_background_034_003,nwpu_background_034,train,negative_image,0,background,61,306,108,353,2209,962,561,rgb,,52,4.308,False,0.817
bg_negative_image_nwpu_background_035_000,nwpu_background_035,val,negative_image,0,background,644,147,694,193,2300,831,521,rgb,,55,4.073,False,0.76
bg_negative_image_nwpu_background_035_001,nwpu_background_035,val,negative_image,0,background,113,425,162,485,2940,831,521,rgb,,66,3.394,False,0.675
bg_negative_image_nwpu_background_035_002,nwpu_background_035,val,negative_image,0,background,222,67,272,151,4200,831,521,rgb,,92,2.435,False,0.496
bg_negative_image_nwpu_background_035_003,nwpu_background_035,val,negative_image,0,background,88,9,155,93,5628,831,521,rgb,,92,2.435,False,0.665
bg_negative_image_nwpu_background_036_000,nwpu_background_036,val,negative_image,0,background,156,28,192,69,1476,931,572,rgb,,45,4.978,False,0.729
bg_negative_image_nwpu_background_036_001,nwpu_background_036,val,negative_image,0,background,517,346,574,409,3591,931,572,rgb,,69,3.246,False,0.754
bg_negative_image_nwpu_background_036_002,nwpu_background_036,val,negative_image,0,background,261,242,372,334,10212,931,572,rgb,,122,1.836,False,0.686
bg_negative_image_nwpu_background_036_003,nwpu_background_036,val,negative_image,0,background,780,453,820,493,1600,931,572,rgb,,44,5.091,False,0.826
bg_negative_image_nwpu_background_038_000,nwpu_background_038,train,negative_image,0,background,165,125,201,159,1224,945,561,rgb,,40,5.6,False,0.765
bg_negative_image_nwpu_background_038_001,nwpu_background_038,train,negative_image,0,background,218,281,288,350,4830,945,561,rgb,,77,2.909,False,0.815
bg_negative_image_nwpu_background_038_002,nwpu_background_038,train,negative_image,0,background,41,166,162,282,14036,945,561,rgb,,133,1.684,False,0.793
bg_negative_image_nwpu_background_038_003,nwpu_background_038,train,negative_image,0,background,460,51,526,111,3960,945,561,rgb,,73,3.068,False,0.743
bg_negative_image_nwpu_background_039_000,nwpu_background_039,train,negative_image,0,background,42,428,120,517,6942,891,552,rgb,,98,2.286,False,0.723
bg_negative_image_nwpu_background_039_001,nwpu_background_039,train,negative_image,0,background,85,422,117,474,1664,891,552,rgb,,57,3.93,False,0.512
bg_negative_image_nwpu_background_039_002,nwpu_background_039,train,negative_image,0,background,789,426,875,447,1806,891,552,rgb,,95,2.358,False,0.2
bg_negative_image_nwpu_background_039_003,nwpu_background_039,train,negative_image,0,background,640,320,710,374,3780,891,552,rgb,,77,2.909,False,0.638
bg_negative_image_nwpu_background_040_000,nwpu_background_040,train,negative_image,0,background,103,274,148,315,1845,814,552,rgb,,50,4.48,False,0.738
bg_negative_image_nwpu_background_040_001,nwpu_background_040,train,negative_image,0,background,393,431,442,480,2401,814,552,rgb,,54,4.148,False,0.823
bg_negative_image_nwpu_background_040_002,nwpu_background_040,train,negative_image,0,background,303,319,330,373,1458,814,552,rgb,,59,3.797,False,0.419
bg_negative_image_nwpu_background_040_003,nwpu_background_040,train,negative_image,0,background,198,68,270,130,4464,814,552,rgb,,79,2.835,False,0.715
bg_negative_image_nwpu_background_042_000,nwpu_background_042,train,negative_image,0,background,384,114,450,177,4158,986,553,rgb,,73,3.068,False,0.78
bg_negative_image_nwpu_background_042_001,nwpu_background_042,train,negative_image,0,background,339,178,402,246,4284,986,553,rgb,,75,2.987,False,0.762
bg_negative_image_nwpu_background_042_002,nwpu_background_042,train,negative_image,0,background,356,355,404,390,1680,986,553,rgb,,53,4.226,False,0.598
bg_negative_image_nwpu_background_042_003,nwpu_background_042,train,negative_image,0,background,269,377,349,533,12480,986,553,rgb,,172,1.302,False,0.422
bg_negative_image_nwpu_background_043_000,nwpu_background_043,train,negative_image,0,background,487,169,510,215,1058,1035,560,rgb,,51,4.392,False,0.407
bg_negative_image_nwpu_background_043_001,nwpu_background_043,train,negative_image,0,background,511,402,592,488,6966,1035,560,rgb,,95,2.358,False,0.772
bg_negative_image_nwpu_background_043_002,nwpu_background_043,train,negative_image,0,background,805,281,839,314,1122,1035,560,rgb,,37,6.054,True,0.82
bg_negative_image_nwpu_background_043_003,nwpu_background_043,train,negative_image,0,background,613,150,679,191,2706,1035,560,rgb,,73,3.068,False,0.508
bg_negative_image_nwpu_background_044_000,nwpu_background_044,train,negative_image,0,background,204,336,277,396,4380,1083,544,rgb,,80,2.8,False,0.684
bg_negative_image_nwpu_background_044_001,nwpu_background_044,train,negative_image,0,background,899,67,937,104,1406,1083,544,rgb,,42,5.333,False,0.797
bg_negative_image_nwpu_background_044_002,nwpu_background_044,train,negative_image,0,background,96,340,171,415,5625,1083,544,rgb,,83,2.699,False,0.817
bg_negative_image_nwpu_background_044_003,nwpu_background_044,train,negative_image,0,background,86,463,149,512,3087,1083,544,rgb,,69,3.246,False,0.648
bg_negative_image_nwpu_background_045_000,nwpu_background_045,train,negative_image,0,background,1038,428,1088,453,1250,1132,560,rgb,,55,4.073,False,0.413
bg_negative_image_nwpu_background_045_001,nwpu_background_045,train,negative_image,0,background,641,383,693,453,3640,1132,560,rgb,,77,2.909,False,0.614
bg_negative_image_nwpu_background_045_002,nwpu_background_045,train,negative_image,0,background,1021,123,1074,197,3922,1132,560,rgb,,81,2.765,False,0.598
bg_negative_image_nwpu_background_045_003,nwpu_background_045,train,negative_image,0,background,617,47,703,110,5418,1132,560,rgb,,95,2.358,False,0.6
bg_negative_image_nwpu_background_046_000,nwpu_background_046,train,negative_image,0,background,146,290,178,322,1024,886,546,rgb,,35,6.4,True,0.836
bg_negative_image_nwpu_background_046_001,nwpu_background_046,train,negative_image,0,background,481,235,526,276,1845,886,546,rgb,,49,4.571,False,0.768
bg_negative_image_nwpu_background_046_002,nwpu_background_046,train,negative_image,0,background,636,407,689,444,1961,886,546,rgb,,58,3.862,False,0.583
bg_negative_image_nwpu_background_046_003,nwpu_background_046,train,negative_image,0,background,422,312,450,338,728,886,546,rgb,,31,7.226,True,0.758
bg_negative_image_nwpu_background_047_000,nwpu_background_047,train,negative_image,0,background,125,57,202,124,5159,1121,551,rgb,,85,2.635,False,0.714
bg_negative_image_nwpu_background_047_001,nwpu_background_047,train,negative_image,0,background,91,319,173,385,5412,1121,551,rgb,,90,2.489,False,0.668
bg_negative_image_nwpu_background_047_002,nwpu_background_047,train,negative_image,0,background,829,352,880,378,1326,1121,551,rgb,,56,4.0,False,0.423
bg_negative_image_nwpu_background_047_003,nwpu_background_047,train,negative_image,0,background,352,440,418,501,4026,1121,551,rgb,,73,3.068,False,0.755
bg_negative_image_nwpu_background_048_000,nwpu_background_048,val,negative_image,0,background,281,180,352,244,4544,1109,559,rgb,,78,2.872,False,0.747
bg_negative_image_nwpu_background_048_001,nwpu_background_048,val,negative_image,0,background,330,82,391,121,2379,1109,559,rgb,,67,3.343,False,0.53
bg_negative_image_nwpu_background_048_002,nwpu_background_048,val,negative_image,0,background,722,152,1060,364,71656,1109,559,rgb,,372,0.602,False,0.518
bg_negative_image_nwpu_background_048_003,nwpu_background_048,val,negative_image,0,background,383,355,493,428,8030,1109,559,rgb,,121,1.851,False,0.548
bg_negative_image_nwpu_background_049_000,nwpu_background_049,train,negative_image,0,background,973,369,1053,449,6400,1119,553,rgb,,88,2.545,False,0.826
bg_negative_image_nwpu_background_049_001,nwpu_background_049,train,negative_image,0,background,510,187,565,242,3025,1119,553,rgb,,61,3.672,False,0.813
bg_negative_image_nwpu_background_049_002,nwpu_background_049,train,negative_image,0,background,757,488,822,528,2600,1119,553,rgb,,72,3.111,False,0.502
bg_negative_image_nwpu_background_049_003,nwpu_background_049,train,negative_image,0,background,123,438,206,476,3154,1119,553,rgb,,91,2.462,False,0.381
bg_negative_image_nwpu_background_050_000,nwpu_background_050,train,negative_image,0,background,117,241,157,378,5480,1000,547,rgb,,151,1.483,False,0.24
bg_negative_image_nwpu_background_050_001,nwpu_background_050,train,negative_image,0,background,652,6,701,38,1568,1000,547,rgb,,54,4.148,False,0.538
bg_negative_image_nwpu_background_050_002,nwpu_background_050,train,negative_image,0,background,754,136,840,221,7310,1000,547,rgb,,95,2.358,False,0.81
bg_negative_image_nwpu_background_050_003,nwpu_background_050,train,negative_image,0,background,426,213,496,278,4550,1000,547,rgb,,77,2.909,False,0.767
bg_negative_image_nwpu_background_051_000,nwpu_background_051,train,negative_image,0,background,815,373,875,439,3960,947,544,rgb,,73,3.068,False,0.743
bg_negative_image_nwpu_background_051_001,nwpu_background_051,train,negative_image,0,background,95,485,187,543,5336,947,544,rgb,,101,2.218,False,0.523
bg_negative_image_nwpu_background_051_002,nwpu_background_051,train,negative_image,0,background,247,412,325,464,4056,947,544,rgb,,86,2.605,False,0.548
bg_negative_image_nwpu_background_051_003,nwpu_background_051,train,negative_image,0,background,73,490,335,544,14148,947,544,rgb,,288,0.778,False,0.171
bg_negative_image_nwpu_background_052_000,nwpu_background_052,val,negative_image,0,background,686,43,762,124,6156,1131,552,rgb,,89,2.517,False,0.777
bg_negative_image_nwpu_background_052_001,nwpu_background_052,val,negative_image,0,background,985,15,1018,60,1485,1131,552,rgb,,50,4.48,False,0.594
bg_negative_image_nwpu_background_052_002,nwpu_background_052,val,negative_image,0,background,145,384,260,442,6670,1131,552,rgb,,126,1.778,False,0.42
bg_negative_image_nwpu_background_052_003,nwpu_background_052,val,negative_image,0,background,190,406,363,512,18338,1131,552,rgb,,190,1.179,False,0.508
bg_negative_image_nwpu_background_053_000,nwpu_background_053,val,negative_image,0,background,31,3,137,68,6890,960,563,rgb,,117,1.915,False,0.503
bg_negative_image_nwpu_background_053_001,nwpu_background_053,val,negative_image,0,background,46,318,123,356,2926,960,563,rgb,,85,2.635,False,0.405
bg_negative_image_nwpu_background_053_002,nwpu_background_053,val,negative_image,0,background,215,403,273,491,5104,960,563,rgb,,97,2.309,False,0.542
bg_negative_image_nwpu_background_053_003,nwpu_background_053,val,negative_image,0,background,51,432,122,456,1704,960,563,rgb,,78,2.872,False,0.28
bg_negative_image_nwpu_background_054_000,nwpu_background_054,train,negative_image,0,background,693,323,793,396,7300,998,535,rgb,,110,2.036,False,0.603
bg_negative_image_nwpu_background_054_001,nwpu_background_054,train,negative_image,0,background,763,18,850,97,6873,998,535,rgb,,96,2.333,False,0.746
bg_negative_image_nwpu_background_054_002,nwpu_background_054,train,negative_image,0,background,116,239,187,301,4402,998,535,rgb,,78,2.872,False,0.724
bg_negative_image_nwpu_background_054_003,nwpu_background_054,train,negative_image,0,background,706,291,756,364,3650,998,535,rgb,,80,2.8,False,0.57
bg_negative_image_nwpu_background_056_000,nwpu_background_056,train,negative_image,0,background,142,350,226,429,6636,997,555,rgb,,92,2.435,False,0.784
bg_negative_image_nwpu_background_056_001,nwpu_background_056,train,negative_image,0,background,181,144,239,168,1392,997,555,rgb,,64,3.5,False,0.34
bg_negative_image_nwpu_background_056_002,nwpu_background_056,train,negative_image,0,background,888,297,979,367,6370,997,555,rgb,,100,2.24,False,0.637
bg_negative_image_nwpu_background_056_003,nwpu_background_056,train,negative_image,0,background,52,309,96,363,2376,997,555,rgb,,59,3.797,False,0.683
bg_negative_image_nwpu_background_057_000,nwpu_background_057,train,negative_image,0,background,781,330,852,410,5680,954,545,rgb,,88,2.545,False,0.733
bg_negative_image_nwpu_background_057_001,nwpu_background_057,train,negative_image,0,background,156,44,210,109,3510,954,545,rgb,,72,3.111,False,0.677
bg_negative_image_nwpu_background_057_002,nwpu_background_057,train,negative_image,0,background,887,240,936,261,1029,954,545,rgb,,54,4.148,False,0.353
bg_negative_image_nwpu_background_057_003,nwpu_background_057,train,negative_image,0,background,716,320,757,362,1722,954,545,rgb,,46,4.87,False,0.814
bg_negative_image_nwpu_background_058_000,nwpu_background_058,train,negative_image,0,background,121,396,340,531,29565,1050,554,rgb,,241,0.929,False,0.509
bg_negative_image_nwpu_background_058_001,nwpu_background_058,train,negative_image,0,background,291,283,374,348,5395,1050,554,rgb,,91,2.462,False,0.651
bg_negative_image_nwpu_background_058_002,nwpu_background_058,train,negative_image,0,background,644,469,702,524,3190,1050,554,rgb,,64,3.5,False,0.779
bg_negative_image_nwpu_background_058_003,nwpu_background_058,train,negative_image,0,background,149,267,193,296,1276,1050,554,rgb,,48,4.667,False,0.554
bg_negative_image_nwpu_background_059_000,nwpu_background_059,train,negative_image,0,background,426,64,476,104,2000,948,575,rgb,,55,4.073,False,0.661
bg_negative_image_nwpu_background_059_001,nwpu_background_059,train,negative_image,0,background,117,140,196,213,5767,948,575,rgb,,87,2.575,False,0.762
bg_negative_image_nwpu_background_059_002,nwpu_background_059,train,negative_image,0,background,377,302,443,383,5346,948,575,rgb,,89,2.517,False,0.675
bg_negative_image_nwpu_background_059_003,nwpu_background_059,train,negative_image,0,background,381,111,728,417,106182,948,575,rgb,,382,0.586,False,0.728
bg_negative_image_nwpu_background_060_000,nwpu_background_060,train,negative_image,0,background,184,304,259,370,4950,920,582,rgb,,83,2.699,False,0.719
