crop_id,image_uid,split,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,object_window_px,upsample_factor,high_upsample,box_fill
nwpu_positive_011_004,nwpu_positive_011,train,1,airplane,664,245,775,344,10989,969,742,rgb,,122,1.836,False,0.738
nwpu_positive_011_005,nwpu_positive_011,train,1,airplane,696,346,807,439,10323,969,742,rgb,,122,1.836,False,0.694
nwpu_positive_011_006,nwpu_positive_011,train,1,airplane,752,451,820,514,4284,969,742,rgb,,75,2.987,False,0.762
nwpu_positive_011_007,nwpu_positive_011,train,1,airplane,736,531,817,608,6237,969,742,rgb,,89,2.517,False,0.787
nwpu_positive_011_008,nwpu_positive_011,train,1,airplane,683,590,739,644,3024,969,742,rgb,,62,3.613,False,0.787
nwpu_positive_012_000,nwpu_positive_012,train,1,airplane,537,163,587,209,2300,940,806,rgb,,55,4.073,False,0.76
nwpu_positive_012_001,nwpu_positive_012,train,1,airplane,332,686,376,735,2156,940,806,rgb,,54,4.148,False,0.739
nwpu_positive_013_000,nwpu_positive_013,train,1,airplane,55,9,168,114,11865,888,552,rgb,,124,1.806,False,0.772
nwpu_positive_013_001,nwpu_positive_013,train,1,airplane,79,133,160,203,5670,888,552,rgb,,89,2.517,False,0.716
nwpu_positive_013_002,nwpu_positive_013,train,1,airplane,72,230,163,320,8190,888,552,rgb,,100,2.24,False,0.819
nwpu_positive_013_003,nwpu_positive_013,train,1,airplane,61,325,166,427,10710,888,552,rgb,,116,1.931,False,0.796
nwpu_positive_013_004,nwpu_positive_013,train,1,airplane,65,437,169,536,10296,888,552,rgb,,114,1.965,False,0.792
nwpu_positive_013_005,nwpu_positive_013,train,1,airplane,287,74,380,168,8742,888,552,rgb,,103,2.175,False,0.824
nwpu_positive_013_006,nwpu_positive_013,train,1,airplane,280,191,386,296,11130,888,552,rgb,,117,1.915,False,0.813
nwpu_positive_013_007,nwpu_positive_013,train,1,airplane,283,321,390,423,10914,888,552,rgb,,118,1.898,False,0.784
nwpu_positive_013_008,nwpu_positive_013,train,1,airplane,285,435,390,540,11025,888,552,rgb,,116,1.931,False,0.819
nwpu_positive_013_009,nwpu_positive_013,train,1,airplane,474,211,578,312,10504,888,552,rgb,,114,1.965,False,0.808
nwpu_positive_013_010,nwpu_positive_013,train,1,airplane,562,60,668,158,10388,888,552,rgb,,117,1.915,False,0.759
nwpu_positive_013_011,nwpu_positive_013,train,1,airplane,564,332,668,424,9568,888,552,rgb,,114,1.965,False,0.736
nwpu_positive_013_012,nwpu_positive_013,train,1,airplane,567,437,665,531,9212,888,552,rgb,,108,2.074,False,0.79
nwpu_positive_014_000,nwpu_positive_014,train,1,airplane,44,259,123,334,5925,1063,590,rgb,,87,2.575,False,0.783
nwpu_positive_014_001,nwpu_positive_014,train,1,airplane,292,313,371,400,6873,1063,590,rgb,,96,2.333,False,0.746
nwpu_positive_014_002,nwpu_positive_014,train,1,airplane,360,245,443,323,6474,1063,590,rgb,,91,2.462,False,0.782
nwpu_positive_014_003,nwpu_positive_014,train,1,airplane,437,171,513,245,5624,1063,590,rgb,,84,2.667,False,0.797
nwpu_positive_014_004,nwpu_positive_014,train,1,airplane,507,96,585,172,5928,1063,590,rgb,,86,2.605,False,0.802
nwpu_positive_014_005,nwpu_positive_014,train,1,airplane,579,31,660,109,6318,1063,590,rgb,,89,2.517,False,0.798
nwpu_positive_014_006,nwpu_positive_014,train,1,airplane,740,65,811,140,5325,1063,590,rgb,,82,2.732,False,0.792
nwpu_positive_014_007,nwpu_positive_014,train,1,airplane,660,275,736,356,6156,1063,590,rgb,,89,2.517,False,0.777
nwpu_positive_014_008,nwpu_positive_014,train,1,airplane,921,159,1007,256,8342,1063,590,rgb,,107,2.093,False,0.729
nwpu_positive_014_009,nwpu_positive_014,train,1,airplane,843,332,944,438,10706,1063,590,rgb,,117,1.915,False,0.782
nwpu_positive_015_000,nwpu_positive_015,val,1,airplane,44,294,147,389,9785,927,641,rgb,,113,1.982,False,0.766
nwpu_positive_015_001,nwpu_positive_015,val,1,airplane,148,289,247,389,9900,927,641,rgb,,110,2.036,False,0.818
nwpu_positive_015_002,nwpu_positive_015,val,1,airplane,386,479,505,587,12852,927,641,rgb,,131,1.71,False,0.749
nwpu_positive_015_003,nwpu_positive_015,val,1,airplane,534,30,634,138,10800,927,641,rgb,,119,1.882,False,0.763
nwpu_positive_015_004,nwpu_positive_015,val,1,airplane,631,23,729,124,9898,927,641,rgb,,111,2.018,False,0.803
nwpu_positive_015_005,nwpu_positive_015,val,1,airplane,773,340,873,441,10100,927,641,rgb,,111,2.018,False,0.82
nwpu_positive_015_006,nwpu_positive_015,val,1,airplane,731,29,823,118,8188,927,641,rgb,,101,2.218,False,0.803
nwpu_positive_017_000,nwpu_positive_017,train,1,airplane,52,515,152,594,7900,1020,630,rgb,,110,2.036,False,0.653
nwpu_positive_017_001,nwpu_positive_017,train,1,airplane,233,393,312,452,4661,1020,630,rgb,,87,2.575,False,0.616
nwpu_positive_017_002,nwpu_positive_017,train,1,airplane,258,472,333,529,4275,1020,630,rgb,,82,2.732,False,0.636
nwpu_positive_017_003,nwpu_positive_017,train,1,airplane,272,546,368,622,7296,1020,630,rgb,,106,2.113,False,0.649
nwpu_positive_017_004,nwpu_positive_017,train,1,airplane,175,109,258,187,6474,1020,630,rgb,,91,2.462,False,0.782
nwpu_positive_017_005,nwpu_positive_017,train,1,airplane,463,9,543,93,6720,1020,630,rgb,,92,2.435,False,0.794
nwpu_positive_017_006,nwpu_positive_017,train,1,airplane,521,124,618,197,7081,1020,630,rgb,,107,2.093,False,0.618
nwpu_positive_017_007,nwpu_positive_017,train,1,airplane,451,229,535,311,6888,1020,630,rgb,,92,2.435,False,0.814
nwpu_positive_017_008,nwpu_positive_017,train,1,airplane,773,352,856,425,6059,1020,630,rgb,,91,2.462,False,0.732
nwpu_positive_017_009,nwpu_positive_017,train,1,airplane,891,282,973,370,7216,1020,630,rgb,,97,2.309,False,0.767
nwpu_positive_017_010,nwpu_positive_017,train,3,storage_tank,387,382,443,429,2632,1020,630,rgb,,62,3.613,False,0.685
nwpu_positive_017_011,nwpu_positive_017,train,3,storage_tank,403,437,459,478,2296,1020,630,rgb,,62,3.613,False,0.597
nwpu_positive_017_012,nwpu_positive_017,train,3,storage_tank,423,489,475,527,1976,1020,630,rgb,,57,3.93,False,0.608
nwpu_positive_017_013,nwpu_positive_017,train,3,storage_tank,466,355,530,403,3072,1020,630,rgb,,70,3.2,False,0.627
nwpu_positive_017_014,nwpu_positive_017,train,3,storage_tank,490,417,555,467,3250,1020,630,rgb,,72,3.111,False,0.627
nwpu_positive_017_015,nwpu_positive_017,train,3,storage_tank,523,324,588,374,3250,1020,630,rgb,,72,3.111,False,0.627
nwpu_positive_017_016,nwpu_positive_017,train,3,storage_tank,548,384,614,437,3498,1020,630,rgb,,73,3.068,False,0.656
nwpu_positive_017_017,nwpu_positive_017,train,3,storage_tank,615,291,673,332,2378,1020,630,rgb,,64,3.5,False,0.581
nwpu_positive_017_018,nwpu_positive_017,train,3,storage_tank,634,343,693,383,2360,1020,630,rgb,,65,3.446,False,0.559
nwpu_positive_017_019,nwpu_positive_017,train,3,storage_tank,654,389,711,435,2622,1020,630,rgb,,63,3.556,False,0.661
nwpu_positive_018_000,nwpu_positive_018,train,1,airplane,59,332,152,420,8184,533,637,rgb,,102,2.196,False,0.787
nwpu_positive_018_001,nwpu_positive_018,train,1,airplane,69,427,172,514,8961,533,637,rgb,,113,1.982,False,0.702
nwpu_positive_018_002,nwpu_positive_018,train,1,airplane,88,532,180,614,7544,533,637,rgb,,101,2.218,False,0.74
nwpu_positive_018_003,nwpu_positive_018,train,1,airplane,226,211,338,302,10192,533,637,rgb,,123,1.821,False,0.674
nwpu_positive_018_004,nwpu_positive_018,train,1,airplane,378,23,458,98,6000,533,637,rgb,,88,2.545,False,0.775
nwpu_positive_021_000,nwpu_positive_021,train,1,airplane,108,60,192,154,7896,1356,939,rgb,,103,2.175,False,0.744
nwpu_positive_021_001,nwpu_positive_021,train,1,airplane,204,58,313,160,11118,1356,939,rgb,,120,1.867,False,0.772
nwpu_positive_021_002,nwpu_positive_021,train,1,airplane,327,46,432,151,11025,1356,939,rgb,,116,1.931,False,0.819
nwpu_positive_021_003,nwpu_positive_021,train,1,airplane,444,69,543,169,9900,1356,939,rgb,,110,2.036,False,0.818
nwpu_positive_021_004,nwpu_positive_021,train,1,airplane,556,91,651,181,8550,1356,939,rgb,,105,2.133,False,0.776
nwpu_positive_021_005,nwpu_positive_021,train,1,airplane,658,67,765,172,11235,1356,939,rgb,,118,1.898,False,0.807
nwpu_positive_021_006,nwpu_positive_021,train,1,airplane,792,81,882,172,8190,1356,939,rgb,,100,2.24,False,0.819
nwpu_positive_021_007,nwpu_positive_021,train,1,airplane,903,57,1032,180,15867,1356,939,rgb,,142,1.577,False,0.787
nwpu_positive_021_008,nwpu_positive_021,train,1,airplane,1035,70,1140,184,11970,1356,939,rgb,,125,1.792,False,0.766
nwpu_positive_021_009,nwpu_positive_021,train,1,airplane,1146,78,1251,181,10815,1356,939,rgb,,116,1.931,False,0.804
nwpu_positive_021_010,nwpu_positive_021,train,1,airplane,48,222,160,321,11088,1356,939,rgb,,123,1.821,False,0.733
nwpu_positive_021_011,nwpu_positive_021,train,1,airplane,106,493,207,577,8484,1356,939,rgb,,111,2.018,False,0.689
nwpu_positive_021_012,nwpu_positive_021,train,1,airplane,103,607,220,703,11232,1356,939,rgb,,129,1.736,False,0.675
nwpu_positive_021_013,nwpu_positive_021,train,1,airplane,106,727,205,814,8613,1356,939,rgb,,109,2.055,False,0.725
nwpu_positive_021_014,nwpu_positive_021,train,3,storage_tank,780,470,835,528,3190,1356,939,rgb,,64,3.5,False,0.779
nwpu_positive_021_015,nwpu_positive_021,train,3,storage_tank,815,520,870,570,2750,1356,939,rgb,,61,3.672,False,0.739
nwpu_positive_021_016,nwpu_positive_021,train,3,storage_tank,730,500,790,558,3480,1356,939,rgb,,66,3.394,False,0.799
nwpu_positive_021_017,nwpu_positive_021,train,3,storage_tank,760,550,815,604,2970,1356,939,rgb,,61,3.672,False,0.798
nwpu_positive_021_018,nwpu_positive_021,train,3,storage_tank,660,545,706,590,2070,1356,939,rgb,,51,4.392,False,0.796
nwpu_positive_021_019,nwpu_positive_021,train,3,storage_tank,690,592,736,638,2116,1356,939,rgb,,51,4.392,False,0.814
nwpu_positive_021_020,nwpu_positive_021,train,3,storage_tank,618,572,664,615,1978,1356,939,rgb,,51,4.392,False,0.76
nwpu_positive_021_021,nwpu_positive_021,train,3,storage_tank,650,620,692,665,1890,1356,939,rgb,,50,4.48,False,0.756
nwpu_positive_021_022,nwpu_positive_021,train,3,storage_tank,578,600,620,641,1722,1356,939,rgb,,46,4.87,False,0.814
nwpu_positive_021_023,nwpu_positive_021,train,3,storage_tank,606,646,650,690,1936,1356,939,rgb,,48,4.667,False,0.84
nwpu_positive_021_024,nwpu_positive_021,train,3,storage_tank,488,485,528,520,1400,1356,939,rgb,,44,5.091,False,0.723
nwpu_positive_021_025,nwpu_positive_021,train,3,storage_tank,470,450,500,485,1050,1356,939,rgb,,38,5.895,False,0.727
nwpu_positive_022_000,nwpu_positive_022,val,1,airplane,31,137,88,211,4218,1176,510,rgb,,81,2.765,False,0.643
nwpu_positive_022_001,nwpu_positive_022,val,1,airplane,168,139,222,204,3510,1176,510,rgb,,72,3.111,False,0.677
nwpu_positive_022_002,nwpu_positive_022,val,1,airplane,228,131,309,212,6561,1176,510,rgb,,89,2.517,False,0.828
nwpu_positive_022_003,nwpu_positive_022,val,1,airplane,325,140,385,201,3660,1176,510,rgb,,67,3.343,False,0.815
nwpu_positive_022_004,nwpu_positive_022,val,1,airplane,517,116,585,186,4760,1176,510,rgb,,77,2.909,False,0.803
nwpu_positive_022_005,nwpu_positive_022,val,1,airplane,760,114,830,183,4830,1176,510,rgb,,77,2.909,False,0.815
nwpu_positive_022_006,nwpu_positive_022,val,1,airplane,1023,98,1079,161,3528,1176,510,rgb,,69,3.246,False,0.741
nwpu_positive_022_007,nwpu_positive_022,val,1,airplane,1008,12,1086,64,4056,1176,510,rgb,,86,2.605,False,0.548
nwpu_positive_022_008,nwpu_positive_022,val,1,airplane,36,302,99,378,4788,1176,510,rgb,,84,2.667,False,0.679
nwpu_positive_022_009,nwpu_positive_022,val,1,airplane,254,286,323,360,5106,1176,510,rgb,,81,2.765,False,0.778
nwpu_positive_022_010,nwpu_positive_022,val,1,airplane,345,284,401,355,3976,1176,510,rgb,,78,2.872,False,0.654
nwpu_positive_022_011,nwpu_positive_022,val,1,airplane,542,268,610,344,5168,1176,510,rgb,,84,2.667,False,0.732
nwpu_positive_022_012,nwpu_positive_022,val,1,airplane,633,262,702,337,5175,1176,510,rgb,,82,2.732,False,0.77
nwpu_positive_022_013,nwpu_positive_022,val,1,airplane,732,334,797,400,4290,1176,510,rgb,,73,3.068,False,0.805
nwpu_positive_022_014,nwpu_positive_022,val,1,airplane,882,369,961,426,4503,1176,510,rgb,,87,2.575,False,0.595
nwpu_positive_022_015,nwpu_positive_022,val,1,airplane,988,250,1055,324,4958,1176,510,rgb,,81,2.765,False,0.756
nwpu_positive_022_016,nwpu_positive_022,val,1,airplane,1069,241,1137,322,5508,1176,510,rgb,,89,2.517,False,0.695
nwpu_positive_023_000,nwpu_positive_023,train,1,airplane,50,725,97,771,2162,948,796,rgb,,52,4.308,False,0.8
nwpu_positive_023_001,nwpu_positive_023,train,1,airplane,360,481,410,539,2900,948,796,rgb,,64,3.5,False,0.708
nwpu_positive_023_002,nwpu_positive_023,train,1,airplane,520,369,565,421,2340,948,796,rgb,,57,3.93,False,0.72
nwpu_positive_023_003,nwpu_positive_023,train,1,airplane,571,330,617,381,2346,948,796,rgb,,56,4.0,False,0.748
nwpu_positive_023_004,nwpu_positive_023,train,1,airplane,561,620,611,682,3100,948,796,rgb,,68,3.294,False,0.67
nwpu_positive_024_000,nwpu_positive_024,train,1,airplane,34,120,95,189,4209,1200,425,rgb,,76,2.947,False,0.729
nwpu_positive_024_001,nwpu_positive_024,train,1,airplane,104,119,163,184,3835,1200,425,rgb,,72,3.111,False,0.74
nwpu_positive_024_002,nwpu_positive_024,train,1,airplane,172,111,230,175,3712,1200,425,rgb,,70,3.2,False,0.758
nwpu_positive_024_003,nwpu_positive_024,train,1,airplane,243,113,300,175,3534,1200,425,rgb,,68,3.294,False,0.764
nwpu_positive_024_004,nwpu_positive_024,train,1,airplane,307,108,369,170,3844,1200,425,rgb,,68,3.294,False,0.831
nwpu_positive_024_005,nwpu_positive_024,train,1,airplane,377,101,439,162,3782,1200,425,rgb,,68,3.294,False,0.818
nwpu_positive_024_006,nwpu_positive_024,train,1,airplane,450,94,503,156,3286,1200,425,rgb,,68,3.294,False,0.711
nwpu_positive_024_007,nwpu_positive_024,train,1,airplane,508,88,562,143,2970,1200,425,rgb,,61,3.672,False,0.798
nwpu_positive_024_008,nwpu_positive_024,train,1,airplane,644,88,695,152,3264,1200,425,rgb,,70,3.2,False,0.666
nwpu_positive_024_009,nwpu_positive_024,train,1,airplane,702,80,754,143,3276,1200,425,rgb,,69,3.246,False,0.688
nwpu_positive_024_010,nwpu_positive_024,train,1,airplane,763,77,815,139,3224,1200,425,rgb,,68,3.294,False,0.697
nwpu_positive_024_011,nwpu_positive_024,train,1,airplane,826,80,882,143,3528,1200,425,rgb,,69,3.246,False,0.741
nwpu_positive_024_012,nwpu_positive_024,train,1,airplane,885,74,939,137,3402,1200,425,rgb,,69,3.246,False,0.715
nwpu_positive_024_013,nwpu_positive_024,train,1,airplane,942,69,998,131,3472,1200,425,rgb,,68,3.294,False,0.751
nwpu_positive_024_014,nwpu_positive_024,train,1,airplane,1005,65,1059,127,3348,1200,425,rgb,,68,3.294,False,0.724
nwpu_positive_024_015,nwpu_positive_024,train,1,airplane,1073,66,1123,126,3000,1200,425,rgb,,66,3.394,False,0.689
nwpu_positive_024_016,nwpu_positive_024,train,1,airplane,84,274,140,343,3864,1200,425,rgb,,76,2.947,False,0.669
nwpu_positive_024_017,nwpu_positive_024,train,1,airplane,287,264,356,336,4968,1200,425,rgb,,79,2.835,False,0.796
nwpu_positive_024_018,nwpu_positive_024,train,1,airplane,372,268,419,332,3008,1200,425,rgb,,70,3.2,False,0.614
nwpu_positive_024_019,nwpu_positive_024,train,1,airplane,607,252,668,306,3294,1200,425,rgb,,67,3.343,False,0.734
nwpu_positive_024_020,nwpu_positive_024,train,1,airplane,746,223,814,294,4828,1200,425,rgb,,78,2.872,False,0.794
nwpu_positive_024_021,nwpu_positive_024,train,1,airplane,899,235,951,296,3172,1200,425,rgb,,67,3.343,False,0.707
nwpu_positive_024_022,nwpu_positive_024,train,1,airplane,959,220,1026,290,4690,1200,425,rgb,,77,2.909,False,0.791
nwpu_positive_024_023,nwpu_positive_024,train,1,airplane,1034,225,1091,288,3591,1200,425,rgb,,69,3.246,False,0.754
nwpu_positive_024_024,nwpu_positive_024,train,1,airplane,1106,211,1157,277,3366,1200,425,rgb,,73,3.068,False,0.632
nwpu_positive_024_025,nwpu_positive_024,train,1,airplane,795,334,878,391,4731,1200,425,rgb,,91,2.462,False,0.571
nwpu_positive_025_000,nwpu_positive_025,train,1,airplane,58,155,104,215,2760,1017,510,rgb,,66,3.394,False,0.634
nwpu_positive_025_001,nwpu_positive_025,train,1,airplane,191,150,248,212,3534,1017,510,rgb,,68,3.294,False,0.764
nwpu_positive_025_002,nwpu_positive_025,train,1,airplane,258,119,319,190,4331,1017,510,rgb,,78,2.872,False,0.712
nwpu_positive_025_003,nwpu_positive_025,train,1,airplane,475,120,521,178,2668,1017,510,rgb,,64,3.5,False,0.651
nwpu_positive_025_004,nwpu_positive_025,train,1,airplane,523,92,600,167,5775,1017,510,rgb,,85,2.635,False,0.799
nwpu_positive_025_005,nwpu_positive_025,train,1,airplane,608,105,655,162,2679,1017,510,rgb,,63,3.556,False,0.675
nwpu_positive_025_006,nwpu_positive_025,train,1,airplane,662,72,749,159,7569,1017,510,rgb,,96,2.333,False,0.821
nwpu_positive_025_007,nwpu_positive_025,train,1,airplane,772,54,867,144,8550,1017,510,rgb,,105,2.133,False,0.776
nwpu_positive_025_008,nwpu_positive_025,train,1,airplane,891,77,971,153,6080,1017,510,rgb,,88,2.545,False,0.785
nwpu_positive_025_009,nwpu_positive_025,train,1,airplane,875,299,950,354,4125,1017,510,rgb,,82,2.732,False,0.613
nwpu_positive_027_000,nwpu_positive_027,train,1,airplane,39,120,108,197,5313,1085,584,rgb,,85,2.635,False,0.735
nwpu_positive_027_001,nwpu_positive_027,train,1,airplane,135,114,207,189,5400,1085,584,rgb,,82,2.732,False,0.803
nwpu_positive_027_002,nwpu_positive_027,train,1,airplane,218,113,286,178,4420,1085,584,rgb,,75,2.987,False,0.786
nwpu_positive_027_003,nwpu_positive_027,train,1,airplane,298,110,366,188,5304,1085,584,rgb,,86,2.605,False,0.717
nwpu_positive_027_004,nwpu_positive_027,train,1,airplane,382,113,449,187,4958,1085,584,rgb,,81,2.765,False,0.756
nwpu_positive_027_005,nwpu_positive_027,train,1,airplane,597,101,669,175,5328,1085,584,rgb,,81,2.765,False,0.812
nwpu_positive_027_006,nwpu_positive_027,train,1,airplane,774,97,844,166,4830,1085,584,rgb,,77,2.909,False,0.815
nwpu_positive_027_007,nwpu_positive_027,train,1,airplane,938,83,1002,157,4736,1085,584,rgb,,81,2.765,False,0.722
nwpu_positive_027_008,nwpu_positive_027,train,1,airplane,965,31,1047,94,5166,1085,584,rgb,,90,2.489,False,0.638
nwpu_positive_027_009,nwpu_positive_027,train,1,airplane,82,488,150,544,3808,1085,584,rgb,,75,2.987,False,0.677
nwpu_positive_027_010,nwpu_positive_027,train,1,airplane,165,461,234,535,5106,1085,584,rgb,,81,2.765,False,0.778
nwpu_positive_027_011,nwpu_positive_027,train,1,airplane,244,450,325,549,8019,1085,584,rgb,,109,2.055,False,0.675
nwpu_positive_027_012,nwpu_positive_027,train,1,airplane,349,456,432,550,7802,1085,584,rgb,,103,2.175,False,0.735
nwpu_positive_027_013,nwpu_positive_027,train,1,airplane,462,446,543,544,7938,1085,584,rgb,,108,2.074,False,0.681
nwpu_positive_027_014,nwpu_positive_027,train,1,airplane,595,439,682,530,7917,1085,584,rgb,,100,2.24,False,0.792
nwpu_positive_027_015,nwpu_positive_027,train,1,airplane,695,440,780,535,8075,1085,584,rgb,,105,2.133,False,0.732
nwpu_positive_027_016,nwpu_positive_027,train,1,airplane,805,435,887,530,7790,1085,584,rgb,,105,2.133,False,0.707
nwpu_positive_027_017,nwpu_positive_027,train,1,airplane,907,419,1007,532,11300,1085,584,rgb,,124,1.806,False,0.735
nwpu_positive_027_018,nwpu_positive_027,train,1,airplane,1014,432,1068,487,2970,1085,584,rgb,,61,3.672,False,0.798
nwpu_positive_027_019,nwpu_positive_027,train,1,airplane,478,214,546,290,5168,1085,584,rgb,,84,2.667,False,0.732
