proposal_id,verdict,predicted_class,verified_class,b2_score,vlm_p_yes
jitter:nwpu_positive_180_000,adjust,bridge,bridge,0.01695,0.974612
jitter_low:nwpu_positive_308_009,reject_localisation,storage_tank,storage_tank,0.016776,0.782192
jitter_low:nwpu_positive_350_001,reject_localisation,tennis_court,tennis_court,0.016719,0.947387
jitter_low:nwpu_positive_563_008,reject_localisation,airplane,airplane,0.016656,0.979438
jitter_low:nwpu_positive_006_004,reject_localisation,airplane,airplane,0.016224,0.987721
jitter_low:nwpu_positive_252_002,reject_localisation,tennis_court,tennis_court,0.016172,0.294215
jitter:nwpu_positive_431_006,relabel,ship,vehicle,0.016065,0.270575
jitter:nwpu_positive_308_016,adjust,storage_tank,storage_tank,0.015987,0.897271
jitter_low:nwpu_positive_081_004,reject_localisation,tennis_court,tennis_court,0.015973,0.906666
jitter_low:nwpu_positive_563_002,reject_localisation,airplane,airplane,0.015909,0.80538
jitter_low:nwpu_positive_549_000,reject_localisation,baseball_diamond,baseball_diamond,0.015752,0.792149
jitter_low:nwpu_positive_058_003,reject_localisation,airplane,airplane,0.015222,0.979234
jitter_low:nwpu_positive_114_000,reject_localisation,baseball_diamond,baseball_diamond,0.014907,0.946802
jitter:nwpu_positive_400_001,adjust,vehicle,vehicle,0.014882,0.774562
jitter_low:nwpu_positive_044_018,reject_localisation,airplane,airplane,0.014879,0.946597
jitter_low:nwpu_positive_584_004,reject_localisation,baseball_diamond,baseball_diamond,0.014782,0.5
jitter:nwpu_positive_504_001,relabel,harbor,ship,0.014671,0.171136
jitter_low:nwpu_positive_038_006,reject_localisation,airplane,airplane,0.014625,0.857204
jitter_low:nwpu_positive_489_004,reject_localisation,tennis_court,tennis_court,0.01455,0.965221
jitter_low:nwpu_positive_308_017,reject_localisation,storage_tank,storage_tank,0.014501,0.7383
jitter:nwpu_positive_112_000,relabel,ground_track_field,baseball_diamond,0.014483,0.618494
jitter:nwpu_positive_607_003,relabel,basketball_court,tennis_court,0.013973,0.096136
jitter:nwpu_positive_009_005,relabel,vehicle,airplane,0.013915,0.978455
jitter_low:nwpu_positive_022_013,reject_localisation,airplane,airplane,0.013846,0.770817
jitter_low:nwpu_positive_504_007,reject_localisation,ship,ship,0.013737,0.915218
jitter:nwpu_positive_309_014,adjust,storage_tank,storage_tank,0.013724,0.721011
jitter:nwpu_positive_318_005,adjust,storage_tank,storage_tank,0.013649,0.672639
jitter_low:nwpu_positive_252_003,reject_localisation,tennis_court,tennis_court,0.013487,0.82532
jitter_low:nwpu_positive_044_013,reject_localisation,airplane,airplane,0.01346,0.856103
jitter_low:nwpu_positive_112_007,reject_localisation,baseball_diamond,baseball_diamond,0.013251,0.963519
jitter_low:nwpu_positive_489_005,reject_localisation,basketball_court,basketball_court,0.013143,0.912019
jitter_low:nwpu_positive_377_001,reject_localisation,vehicle,vehicle,0.013138,0.838728
jitter:nwpu_positive_566_001,relabel,tennis_court,baseball_diamond,0.012995,0.02617
jitter_low:nwpu_positive_309_002,reject_localisation,storage_tank,storage_tank,0.01291,0.664812
jitter_low:nwpu_positive_639_001,reject_localisation,baseball_diamond,baseball_diamond,0.01283,0.981214
jitter:nwpu_positive_259_001,relabel,ground_track_field,baseball_diamond,0.012643,0.437823
jitter_low:nwpu_positive_519_005,reject_localisation,ship,ship,0.012606,0.952188
jitter_low:nwpu_positive_058_005,reject_localisation,airplane,airplane,0.012522,0.5
jitter:nwpu_positive_022_012,relabel,tennis_court,airplane,0.012433,0.020514
jitter_low:nwpu_positive_241_000,reject_localisation,ground_track_field,ground_track_field,0.012402,0.852466
jitter_low:nwpu_positive_180_000,reject_localisation,bridge,bridge,0.01239,0.860953
jitter_low:nwpu_positive_022_012,reject_localisation,airplane,airplane,0.012346,0.71805
jitter:nwpu_positive_044_002,relabel,storage_tank,airplane,0.012264,0.037489
jitter:nwpu_positive_308_011,adjust,storage_tank,storage_tank,0.01226,0.437823
jitter_low:nwpu_positive_316_010,reject_localisation,storage_tank,storage_tank,0.0122,0.812556
jitter_low:nwpu_positive_022_008,reject_localisation,airplane,airplane,0.012164,0.958076
jitter_low:nwpu_positive_038_004,reject_localisation,airplane,airplane,0.012129,0.976357
jitter_low:nwpu_positive_414_007,reject_localisation,vehicle,vehicle,0.012109,0.643323
jitter:nwpu_positive_044_023,adjust,airplane,airplane,0.012007,0.984467
jitter_low:nwpu_positive_400_001,reject_localisation,vehicle,vehicle,0.011849,0.618326
jitter_low:nwpu_positive_318_010,reject_localisation,storage_tank,storage_tank,0.011671,0.806561
jitter:nwpu_positive_430_011,relabel,ship,vehicle,0.011637,0.318874
jitter_low:nwpu_positive_589_003,reject_localisation,baseball_diamond,baseball_diamond,0.011566,0.184205
jitter_low:nwpu_positive_309_009,reject_localisation,storage_tank,storage_tank,0.011546,0.739764
jitter:nwpu_positive_075_003,relabel,storage_tank,airplane,0.011498,0.042379
jitter_low:nwpu_positive_503_004,reject_localisation,ship,ship,0.011485,0.809565
jitter:nwpu_positive_493_001,relabel,baseball_diamond,tennis_court,0.011467,0.037616
jitter:nwpu_positive_580_002,relabel,ground_track_field,baseball_diamond,0.01146,0.498603
jitter_low:nwpu_positive_035_007,reject_localisation,airplane,airplane,0.011398,0.92598
jitter_low:nwpu_positive_022_016,reject_localisation,airplane,airplane,0.011264,0.701715
jitter:nwpu_positive_252_000,adjust,ground_track_field,ground_track_field,0.01109,0.944364
jitter_low:nwpu_positive_431_015,reject_localisation,vehicle,vehicle,0.010964,0.537807
jitter_low:nwpu_positive_308_014,reject_localisation,storage_tank,storage_tank,0.0108,0.90892
jitter_low:nwpu_positive_308_018,reject_localisation,storage_tank,storage_tank,0.010683,0.9316
jitter_low:nwpu_positive_309_001,reject_localisation,ship,ship,0.010627,0.584146
jitter_low:nwpu_positive_035_016,reject_localisation,airplane,airplane,0.010549,0.957343
jitter:nwpu_positive_431_013,relabel,ship,vehicle,0.010498,0.323576
jitter:nwpu_positive_234_001,relabel,tennis_court,baseball_diamond,0.010367,0.106691
jitter_low:nwpu_positive_584_003,reject_localisation,baseball_diamond,baseball_diamond,0.01033,0.951962
jitter_low:nwpu_positive_401_001,reject_localisation,vehicle,vehicle,0.010214,0.58625
jitter:nwpu_positive_575_001,adjust,baseball_diamond,baseball_diamond,0.009917,0.994373
jitter_low:nwpu_positive_318_014,reject_localisation,storage_tank,storage_tank,0.009801,0.614603
jitter:nwpu_positive_022_005,relabel,tennis_court,airplane,0.009593,0.014124
jitter_low:nwpu_positive_006_003,reject_localisation,airplane,airplane,0.009513,0.945879
jitter_low:nwpu_positive_118_000,reject_localisation,baseball_diamond,baseball_diamond,0.009307,0.386291
jitter_low:nwpu_positive_500_001,reject_localisation,ship,ship,0.009289,0.965966
jitter:nwpu_positive_038_007,relabel,storage_tank,airplane,0.009283,0.047896
jitter:nwpu_positive_316_000,relabel,basketball_court,storage_tank,0.009266,0.038136
jitter_low:nwpu_positive_015_002,reject_localisation,airplane,airplane,0.009264,0.906
jitter_low:nwpu_positive_316_004,reject_localisation,storage_tank,storage_tank,0.009138,0.646418
jitter_low:nwpu_positive_022_014,reject_localisation,airplane,airplane,0.008908,0.719354
jitter_low:nwpu_positive_081_000,reject_localisation,baseball_diamond,baseball_diamond,0.008819,0.873781
jitter_low:nwpu_positive_563_010,reject_localisation,airplane,airplane,0.00867,0.895537
jitter:nwpu_positive_431_007,relabel,storage_tank,vehicle,0.008617,0.224254
jitter_low:nwpu_positive_504_008,reject_localisation,ship,ship,0.008499,0.953132
jitter:nwpu_positive_309_002,adjust,storage_tank,storage_tank,0.008337,0.766967
jitter_low:nwpu_positive_058_008,reject_localisation,airplane,airplane,0.008203,0.882171
jitter:nwpu_positive_035_000,relabel,storage_tank,airplane,0.007871,0.076263
jitter:nwpu_positive_563_012,relabel,vehicle,airplane,0.007863,0.955006
jitter_low:nwpu_positive_346_001,reject_localisation,tennis_court,tennis_court,0.007821,0.932421
jitter:nwpu_positive_035_017,relabel,tennis_court,airplane,0.007779,0.012623
jitter_low:nwpu_positive_308_004,reject_localisation,storage_tank,storage_tank,0.007743,0.916119
jitter_low:nwpu_positive_566_001,reject_localisation,baseball_diamond,baseball_diamond,0.007732,0.975562
jitter_low:nwpu_positive_015_001,reject_localisation,airplane,airplane,0.007355,0.962819
jitter:nwpu_positive_256_002,relabel,ground_track_field,baseball_diamond,0.007093,0.498761
jitter_low:nwpu_positive_375_001,reject_localisation,vehicle,vehicle,0.00702,0.923355
jitter_low:nwpu_positive_563_007,reject_localisation,airplane,airplane,0.006914,0.646909
jitter_low:nwpu_positive_639_000,reject_localisation,ground_track_field,ground_track_field,0.006846,0.941937
jitter:nwpu_positive_607_004,relabel,baseball_diamond,tennis_court,0.006843,0.060625
jitter:nwpu_positive_309_007,adjust,storage_tank,storage_tank,0.00683,0.897271
jitter_low:nwpu_positive_299_002,reject_localisation,ship,ship,0.006694,0.925238
jitter_low:nwpu_positive_607_008,reject_localisation,basketball_court,basketball_court,0.006655,0.693442
jitter_low:nwpu_positive_316_011,reject_localisation,storage_tank,storage_tank,0.006648,0.945161
jitter:nwpu_positive_302_000,relabel,harbor,ship,0.006611,0.242758
jitter:nwpu_positive_308_000,relabel,storage_tank,ship,0.006573,0.183166
jitter_low:nwpu_positive_044_014,reject_localisation,airplane,airplane,0.006563,0.725149
jitter:nwpu_positive_401_000,relabel,storage_tank,vehicle,0.006441,0.06791
jitter:nwpu_positive_044_017,relabel,storage_tank,airplane,0.006429,0.183398
jitter_low:nwpu_positive_044_008,reject_localisation,airplane,airplane,0.006374,0.927352
jitter_low:nwpu_positive_058_010,reject_localisation,airplane,airplane,0.006251,0.970688
jitter:nwpu_positive_414_007,relabel,ship,vehicle,0.006249,0.320821
jitter_low:nwpu_positive_519_004,reject_localisation,ship,ship,0.00616,0.82911
jitter:nwpu_positive_044_000,relabel,storage_tank,airplane,0.006123,0.037715
jitter:nwpu_positive_279_002,relabel,ship,harbor,0.006108,0.376228
jitter:nwpu_positive_006_000,relabel,storage_tank,airplane,0.006088,0.076516
jitter_low:nwpu_positive_584_000,reject_localisation,baseball_diamond,baseball_diamond,0.006039,0.557366
jitter_low:nwpu_positive_167_000,reject_localisation,bridge,bridge,0.005966,0.834112
jitter:nwpu_positive_503_007,adjust,ship,ship,0.005865,0.557852
jitter:nwpu_positive_252_001,relabel,baseball_diamond,tennis_court,0.005848,0.095847
jitter_low:nwpu_positive_022_006,reject_localisation,airplane,airplane,0.005758,0.9683
jitter_low:nwpu_positive_075_001,reject_localisation,airplane,airplane,0.005644,0.58886
jitter:nwpu_positive_279_003,relabel,ship,harbor,0.005566,0.430388
jitter_low:nwpu_positive_519_001,reject_localisation,ship,ship,0.005559,0.745449
jitter_low:nwpu_positive_038_012,reject_localisation,airplane,airplane,0.005171,0.971645
jitter_low:nwpu_positive_058_007,reject_localisation,airplane,airplane,0.00517,0.930589
jitter_low:nwpu_positive_252_009,reject_localisation,baseball_diamond,baseball_diamond,0.005098,0.964926
jitter_low:nwpu_positive_009_000,reject_localisation,airplane,airplane,0.005097,0.982914
jitter:nwpu_positive_208_001,adjust,tennis_court,tennis_court,0.00501,0.845167
jitter_low:nwpu_positive_010_002,reject_localisation,airplane,airplane,0.004943,0.746368
jitter_low:nwpu_positive_006_005,reject_localisation,airplane,airplane,0.004896,0.985061
jitter_low:nwpu_positive_044_024,reject_localisation,airplane,airplane,0.004807,0.867262
jitter:nwpu_positive_309_008,adjust,storage_tank,storage_tank,0.004766,0.870827
jitter:nwpu_positive_563_008,relabel,tennis_court,airplane,0.004755,0.018099
jitter:nwpu_positive_431_010,relabel,ship,vehicle,0.004688,0.13434
jitter:nwpu_positive_112_004,relabel,tennis_court,baseball_diamond,0.00468,0.042567
jitter:nwpu_positive_387_000,relabel,storage_tank,vehicle,0.004629,0.119665
jitter:nwpu_positive_374_001,adjust,vehicle,vehicle,0.004494,0.748702
jitter_low:nwpu_positive_475_000,reject_localisation,ground_track_field,ground_track_field,0.004462,0.82545
jitter_low:nwpu_positive_035_010,reject_localisation,airplane,airplane,0.004313,0.882171
jitter_low:nwpu_positive_038_002,reject_localisation,airplane,airplane,0.004305,0.974357
jitter_low:nwpu_positive_044_020,reject_localisation,airplane,airplane,0.004291,0.984132
jitter_low:nwpu_positive_431_014,reject_localisation,vehicle,vehicle,0.004179,0.503937
jitter_low:nwpu_positive_401_000,reject_localisation,vehicle,vehicle,0.004117,0.768433
jitter_low:nwpu_positive_114_002,reject_localisation,baseball_diamond,baseball_diamond,0.004101,0.960334
jitter_low:nwpu_positive_589_002,reject_localisation,baseball_diamond,baseball_diamond,0.004096,0.387268
jitter_low:nwpu_positive_561_001,reject_localisation,bridge,bridge,0.004059,0.894486
jitter:nwpu_positive_081_003,relabel,basketball_court,tennis_court,0.00403,0.247041
jitter_low:nwpu_positive_524_000,reject_localisation,ground_track_field,ground_track_field,0.004021,0.812556
jitter_low:nwpu_positive_316_003,reject_localisation,storage_tank,storage_tank,0.00386,0.92428
jitter_low:nwpu_positive_519_000,reject_localisation,ship,ship,0.003843,0.789059
jitter_low:nwpu_positive_559_000,reject_localisation,bridge,bridge,0.003654,0.947006
jitter_low:nwpu_positive_316_012,reject_localisation,storage_tank,storage_tank,0.003631,0.894556
jitter:nwpu_positive_044_014,relabel,tennis_court,airplane,0.003625,0.026117
jitter_low:nwpu_positive_015_004,reject_localisation,airplane,airplane,0.003622,0.952758
jitter_low:nwpu_positive_081_003,reject_localisation,tennis_court,tennis_court,0.003587,0.468791
jitter:nwpu_positive_318_001,relabel,vehicle,storage_tank,0.003526,0.047966
jitter_low:nwpu_positive_048_002,reject_localisation,airplane,airplane,0.003441,0.976385
jitter:nwpu_positive_390_002,relabel,storage_tank,vehicle,0.003411,0.076695
jitter:nwpu_positive_500_003,relabel,harbor,ship,0.003395,0.076601
jitter_low:nwpu_positive_035_018,reject_localisation,airplane,airplane,0.003345,0.924142
jitter:nwpu_positive_044_003,relabel,tennis_court,airplane,0.003319,0.029644
jitter_low:nwpu_positive_010_003,reject_localisation,airplane,airplane,0.003315,0.965424
jitter:nwpu_positive_015_000,relabel,storage_tank,airplane,0.003192,0.047795
jitter_low:nwpu_positive_010_000,reject_localisation,airplane,airplane,0.003189,0.468791
jitter_low:nwpu_positive_580_001,reject_localisation,baseball_diamond,baseball_diamond,0.00313,0.531209
jitter:nwpu_positive_044_001,relabel,storage_tank,airplane,0.003124,0.047795
jitter:nwpu_positive_620_000,relabel,baseball_diamond,ground_track_field,0.003092,0.182596
background:bg_positive_free_nwpu_positive_044_000,reject_background,airplane,,0.00306,0.666248
jitter:nwpu_positive_308_012,adjust,storage_tank,storage_tank,0.003044,0.79147
jitter:nwpu_positive_308_018,relabel,ship,storage_tank,0.003016,0.054364
jitter_low:nwpu_positive_308_002,reject_localisation,ship,ship,0.002894,0.890608
jitter_low:nwpu_positive_006_007,reject_localisation,airplane,airplane,0.002891,0.897271
jitter:nwpu_positive_504_005,relabel,storage_tank,ship,0.002868,0.2227
jitter:nwpu_positive_044_015,relabel,tennis_court,airplane,0.002848,0.012535
jitter_low:nwpu_positive_316_001,reject_localisation,storage_tank,storage_tank,0.002847,0.8461
jitter_low:nwpu_positive_035_008,reject_localisation,airplane,airplane,0.002823,0.862704
jitter_low:nwpu_positive_519_003,reject_localisation,ship,ship,0.00278,0.957904
jitter_low:nwpu_positive_114_004,reject_localisation,baseball_diamond,baseball_diamond,0.002763,0.922153
jitter:nwpu_positive_280_003,relabel,airplane,harbor,0.002741,0.01902
jitter_low:nwpu_positive_038_003,reject_localisation,airplane,airplane,0.002718,0.98201
jitter:nwpu_positive_270_002,relabel,ship,harbor,0.002693,0.437823
jitter_low:nwpu_positive_500_006,reject_localisation,ship,ship,0.002632,0.957366
jitter_low:nwpu_positive_589_005,reject_localisation,baseball_diamond,baseball_diamond,0.002594,0.299751
jitter:nwpu_positive_350_002,relabel,basketball_court,tennis_court,0.002526,0.060286
jitter_low:nwpu_positive_035_006,reject_localisation,airplane,airplane,0.00249,0.946597
jitter:nwpu_positive_430_007,relabel,ship,vehicle,0.002479,0.407333
jitter_low:nwpu_positive_117_000,reject_localisation,baseball_diamond,baseball_diamond,0.00245,0.893697
jitter_low:nwpu_positive_563_013,reject_localisation,airplane,airplane,0.002403,0.86846
jitter:nwpu_positive_142_000,adjust,basketball_court,basketball_court,0.0024,0.927052
jitter:nwpu_positive_058_006,relabel,storage_tank,airplane,0.002397,0.047898
jitter_low:nwpu_positive_035_012,reject_localisation,airplane,airplane,0.002383,0.884249
jitter_low:nwpu_positive_504_001,reject_localisation,ship,ship,0.002348,0.622459
jitter:nwpu_positive_318_002,relabel,vehicle,storage_tank,0.002338,0.061045
jitter_low:nwpu_positive_234_002,reject_localisation,baseball_diamond,baseball_diamond,0.002295,0.990316
jitter:nwpu_positive_318_004,relabel,ship,storage_tank,0.002288,0.053824
jitter_low:nwpu_positive_048_001,reject_localisation,airplane,airplane,0.002281,0.764555
jitter:nwpu_positive_503_000,relabel,harbor,ship,0.002255,0.15046
jitter:nwpu_positive_524_000,relabel,baseball_diamond,ground_track_field,0.002221,0.047715
jitter_low:nwpu_positive_302_001,reject_localisation,ship,ship,0.002119,0.418403
jitter:nwpu_positive_430_006,relabel,storage_tank,vehicle,0.002103,0.165615
jitter_low:nwpu_positive_500_000,reject_localisation,ship,ship,0.002099,0.622459
jitter_low:nwpu_positive_038_009,reject_localisation,airplane,airplane,0.002091,0.669855
jitter_low:nwpu_positive_503_009,reject_localisation,ship,ship,0.002002,0.809114
jitter:nwpu_positive_038_002,relabel,storage_tank,airplane,0.001975,0.033295
jitter_low:nwpu_positive_504_010,reject_localisation,ship,ship,0.001967,0.742655
jitter:nwpu_positive_161_000,relabel,baseball_diamond,basketball_court,0.001953,0.037658
jitter:nwpu_positive_431_019,relabel,ship,vehicle,0.001931,0.32178
jitter:nwpu_positive_318_000,adjust,storage_tank,storage_tank,0.001889,0.379415
jitter:nwpu_positive_503_005,relabel,storage_tank,ship,0.001857,0.268941
jitter:nwpu_positive_557_001,relabel,baseball_diamond,bridge,0.001848,0.020633
jitter_low:nwpu_positive_308_001,reject_localisation,ship,ship,0.001757,0.731059
jitter_low:nwpu_positive_503_007,reject_localisation,ship,ship,0.001741,0.766503
jitter:nwpu_positive_504_008,relabel,storage_tank,ship,0.00173,0.183929
jitter_low:nwpu_positive_035_009,reject_localisation,airplane,airplane,0.001694,0.909686
jitter_low:nwpu_positive_009_004,reject_localisation,airplane,airplane,0.001644,0.71996
jitter_low:nwpu_positive_058_009,reject_localisation,airplane,airplane,0.001628,0.966643
jitter_low:nwpu_positive_022_010,reject_localisation,airplane,airplane,0.00162,0.437823
jitter:nwpu_positive_561_000,relabel,baseball_diamond,bridge,0.001606,0.034634
jitter_low:nwpu_positive_044_019,reject_localisation,airplane,airplane,0.001594,0.8461
jitter_low:nwpu_positive_504_006,reject_localisation,ship,ship,0.001577,0.888274
jitter:nwpu_positive_316_009,adjust,storage_tank,storage_tank,0.001571,0.747214
jitter:nwpu_positive_316_006,relabel,ship,storage_tank,0.001564,0.047721
jitter_low:nwpu_positive_500_005,reject_localisation,ship,ship,0.001541,0.789927
jitter_low:nwpu_positive_627_000,reject_localisation,ground_track_field,ground_track_field,0.001463,0.914885
jitter_low:nwpu_positive_308_011,reject_localisation,storage_tank,storage_tank,0.001442,0.726777
jitter:nwpu_positive_309_001,relabel,harbor,ship,0.001364,0.739864
jitter:nwpu_positive_504_003,relabel,harbor,ship,0.001351,0.165751
jitter:nwpu_positive_559_000,relabel,baseball_diamond,bridge,0.001348,0.014362
jitter_low:nwpu_positive_044_010,reject_localisation,airplane,airplane,0.001346,0.951933
jitter:nwpu_positive_308_009,relabel,vehicle,storage_tank,0.00132,0.167145
jitter_low:nwpu_positive_308_000,reject_localisation,ship,ship,0.001296,0.645309
background:bg_positive_free_nwpu_positive_346_000,reject_background,tennis_court,,0.001285,0.35223
jitter:nwpu_positive_006_003,relabel,storage_tank,airplane,0.001272,0.033209
jitter:nwpu_positive_035_012,relabel,storage_tank,airplane,0.001268,0.095613
jitter:nwpu_positive_252_008,relabel,basketball_court,tennis_court,0.001247,0.119874
background:bg_positive_free_nwpu_positive_081_000,reject_background,tennis_court,,0.001226,0.498229
jitter:nwpu_positive_430_004,relabel,ship,vehicle,0.001218,0.120615
jitter:nwpu_positive_580_004,relabel,ground_track_field,baseball_diamond,0.001162,0.555527
jitter:nwpu_positive_589_009,relabel,basketball_court,tennis_court,0.001161,0.060829
jitter:nwpu_positive_615_001,relabel,basketball_court,tennis_court,0.001157,0.119573
jitter:nwpu_positive_589_001,relabel,tennis_court,baseball_diamond,0.001116,0.037751
jitter:nwpu_positive_035_006,relabel,storage_tank,airplane,0.001115,0.042245
jitter_low:nwpu_positive_112_006,reject_localisation,baseball_diamond,baseball_diamond,0.001111,0.974741
jitter_low:nwpu_positive_035_004,reject_localisation,airplane,airplane,0.001089,0.916943
jitter:nwpu_positive_309_006,adjust,storage_tank,storage_tank,0.001085,0.941937
jitter:nwpu_positive_504_010,relabel,storage_tank,ship,0.001072,0.497183
jitter_low:nwpu_positive_633_002,reject_localisation,baseball_diamond,baseball_diamond,0.00105,0.322367
jitter_low:nwpu_positive_234_000,reject_localisation,ground_track_field,ground_track_field,0.00104,0.962762
jitter_low:nwpu_positive_048_000,reject_localisation,airplane,airplane,0.001035,0.84121
background:bg_positive_free_nwpu_positive_430_000,reject_background,airplane,,0.001025,0.377541
jitter_low:nwpu_positive_256_002,reject_localisation,baseball_diamond,baseball_diamond,0.001013,0.870827
jitter_low:nwpu_positive_648_002,reject_localisation,baseball_diamond,baseball_diamond,0.00101,0.647359
jitter_low:nwpu_positive_015_006,reject_localisation,airplane,airplane,0.00096,0.969182
jitter_low:nwpu_positive_504_004,reject_localisation,ship,ship,0.000927,0.895537
jitter:nwpu_positive_015_001,relabel,storage_tank,airplane,0.000909,0.047959
jitter_low:nwpu_positive_316_009,reject_localisation,storage_tank,storage_tank,0.000871,0.966005
jitter:nwpu_positive_142_003,relabel,basketball_court,tennis_court,0.00087,0.060564
jitter_low:nwpu_positive_170_000,reject_localisation,bridge,bridge,0.000868,0.2227
jitter:nwpu_positive_044_016,relabel,tennis_court,airplane,0.000854,0.016056
jitter:nwpu_positive_163_001,relabel,tennis_court,basketball_court,0.000833,0.060602
jitter:nwpu_positive_375_000,relabel,storage_tank,vehicle,0.00083,0.076591
jitter_low:nwpu_positive_060_000,reject_localisation,airplane,airplane,0.000825,0.946164
jitter_low:nwpu_positive_350_004,reject_localisation,basketball_court,basketball_court,0.000797,0.407333
jitter:nwpu_positive_408_001,relabel,ship,vehicle,0.000791,0.348645
jitter:nwpu_positive_308_008,relabel,ship,storage_tank,0.00076,0.149956
jitter:nwpu_positive_252_003,relabel,ground_track_field,tennis_court,0.000735,0.465986
jitter:nwpu_positive_252_004,relabel,ground_track_field,tennis_court,0.000718,0.5
jitter_low:nwpu_positive_316_007,reject_localisation,storage_tank,storage_tank,0.000669,0.957994
jitter:nwpu_positive_503_001,relabel,storage_tank,ship,0.000669,0.224323
jitter_low:nwpu_positive_038_010,reject_localisation,airplane,airplane,0.000645,0.434355
jitter:nwpu_positive_615_004,relabel,tennis_court,basketball_court,0.000626,0.085597
jitter_low:nwpu_positive_044_004,reject_localisation,airplane,airplane,0.000587,0.674439
jitter_low:nwpu_positive_316_002,reject_localisation,storage_tank,storage_tank,0.000571,0.721011
jitter_low:nwpu_positive_060_001,reject_localisation,airplane,airplane,0.000544,0.842426
jitter_low:nwpu_positive_044_011,reject_localisation,airplane,airplane,0.000535,0.617354
jitter_low:nwpu_positive_309_007,reject_localisation,storage_tank,storage_tank,0.000533,0.726777
jitter:nwpu_positive_593_003,relabel,tennis_court,basketball_court,0.000532,0.047762
jitter_low:nwpu_positive_044_005,reject_localisation,airplane,airplane,0.000525,0.407333
jitter_low:nwpu_positive_504_003,reject_localisation,ship,ship,0.000502,0.760147
jitter:nwpu_positive_309_012,relabel,vehicle,storage_tank,0.0005,0.149055
jitter_low:nwpu_positive_035_003,reject_localisation,airplane,airplane,0.000474,0.845874
jitter_low:nwpu_positive_309_005,reject_localisation,storage_tank,storage_tank,0.000447,0.898029
jitter:nwpu_positive_035_015,relabel,storage_tank,airplane,0.000436,0.085673
jitter:nwpu_positive_309_013,relabel,baseball_diamond,storage_tank,0.000434,0.06805
jitter_low:nwpu_positive_316_008,reject_localisation,storage_tank,storage_tank,0.00043,0.741315
jitter_low:nwpu_positive_500_002,reject_localisation,ship,ship,0.000394,0.562177
background:bg_positive_free_nwpu_positive_544_000,reject_background,vehicle,,0.000394,0.672639
jitter_low:nwpu_positive_247_005,reject_localisation,baseball_diamond,baseball_diamond,0.000392,0.978614
jitter:nwpu_positive_489_001,relabel,basketball_court,tennis_court,0.000385,0.09625
jitter:nwpu_positive_145_005,relabel,basketball_court,tennis_court,0.000319,0.037536
jitter_low:nwpu_positive_044_016,reject_localisation,airplane,airplane,0.000301,0.696214
background:bg_negative_image_nwpu_background_053_000,reject_background,ship,,0.000299,0.592667
jitter_low:nwpu_positive_400_000,reject_localisation,vehicle,vehicle,0.000276,0.437823
jitter_low:nwpu_positive_081_001,reject_localisation,baseball_diamond,baseball_diamond,0.000275,0.942259
jitter_low:nwpu_positive_280_004,reject_localisation,harbor,harbor,0.000263,0.323903
jitter_low:nwpu_positive_503_000,reject_localisation,ship,ship,0.000259,0.398242
jitter_low:nwpu_positive_374_001,reject_localisation,vehicle,vehicle,0.000257,0.410056
background:bg_positive_free_nwpu_positive_256_000,reject_background,storage_tank,,0.00024,0.068299
jitter:nwpu_positive_308_007,relabel,ship,storage_tank,0.000239,0.107973
