crop_id,image_uid,split,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,local_window_px,upsample_factor,high_upsample,box_fill
hrrsd_00045_003,hrrsd_00045,train,9,airplane,738,476,816,558,6396,924,1132,,,90,2.489,False,0.79
hrrsd_00048_000,hrrsd_00048,train,8,tennis_court,515,436,556,505,2829,1167,915,,,76,2.947,False,0.49
hrrsd_00056_000,hrrsd_00056,train,2,bridge,319,201,484,510,50985,739,636,,,340,0.659,False,0.441
hrrsd_00057_000,hrrsd_00057,train,2,bridge,330,149,507,375,40002,727,558,,,249,0.9,False,0.645
hrrsd_00058_000,hrrsd_00058,train,12,ground_track_field,990,253,1234,726,115412,1471,1008,,,520,0.431,False,0.427
hrrsd_00058_001,hrrsd_00058,train,0,basketball_court,345,227,385,305,3120,1471,1008,,,86,2.605,False,0.422
hrrsd_00058_002,hrrsd_00058,train,0,basketball_court,387,228,429,305,3234,1471,1008,,,85,2.635,False,0.448
hrrsd_00058_003,hrrsd_00058,train,0,basketball_court,434,230,473,307,3003,1471,1008,,,85,2.635,False,0.416
hrrsd_00058_004,hrrsd_00058,train,0,basketball_court,345,308,384,377,2691,1471,1008,,,76,2.947,False,0.466
hrrsd_00058_005,hrrsd_00058,train,0,basketball_court,387,308,429,380,3024,1471,1008,,,79,2.835,False,0.485
hrrsd_00058_006,hrrsd_00058,train,0,basketball_court,432,308,473,381,2993,1471,1008,,,80,2.8,False,0.468
hrrsd_00058_007,hrrsd_00058,train,0,basketball_court,344,383,385,455,2952,1471,1008,,,79,2.835,False,0.473
hrrsd_00058_008,hrrsd_00058,train,0,basketball_court,388,386,429,458,2952,1471,1008,,,79,2.835,False,0.473
hrrsd_00058_009,hrrsd_00058,train,0,basketball_court,434,389,473,458,2691,1471,1008,,,76,2.947,False,0.466
hrrsd_00058_010,hrrsd_00058,train,8,tennis_court,385,467,468,510,3569,1471,1008,,,91,2.462,False,0.431
hrrsd_00058_011,hrrsd_00058,train,8,tennis_court,385,512,467,549,3034,1471,1008,,,90,2.489,False,0.375
hrrsd_00058_012,hrrsd_00058,train,8,tennis_court,386,551,465,588,2923,1471,1008,,,87,2.575,False,0.386
hrrsd_00074_000,hrrsd_00074,train,12,ground_track_field,258,298,514,726,109568,847,1077,,,471,0.476,False,0.494
hrrsd_00074_001,hrrsd_00074,train,8,tennis_court,524,575,561,647,2664,847,1077,,,79,2.835,False,0.427
hrrsd_00074_002,hrrsd_00074,train,8,tennis_court,571,572,606,641,2415,847,1077,,,76,2.947,False,0.418
hrrsd_00074_003,hrrsd_00074,train,0,basketball_court,523,652,621,711,5782,847,1077,,,108,2.074,False,0.496
hrrsd_00078_000,hrrsd_00078,train,2,bridge,504,653,754,862,52250,1248,1576,,,275,0.815,False,0.691
hrrsd_00078_001,hrrsd_00078,train,2,bridge,656,987,1058,1110,49446,1248,1576,,,442,0.507,False,0.253
hrrsd_00079_000,hrrsd_00079,train,2,bridge,380,1318,580,1498,36000,1040,1592,,,220,1.018,False,0.744
hrrsd_00079_001,hrrsd_00079,train,12,ground_track_field,548,328,870,795,150374,1040,1592,,,514,0.436,False,0.569
hrrsd_00079_002,hrrsd_00079,train,0,basketball_court,472,642,533,722,4880,1040,1592,,,88,2.545,False,0.63
hrrsd_00079_003,hrrsd_00079,train,0,basketball_court,447,560,506,642,4838,1040,1592,,,90,2.489,False,0.597
hrrsd_00079_004,hrrsd_00079,train,0,basketball_court,424,480,481,561,4617,1040,1592,,,89,2.517,False,0.583
hrrsd_00079_005,hrrsd_00079,train,0,basketball_court,397,399,455,480,4698,1040,1592,,,89,2.517,False,0.593
hrrsd_00086_000,hrrsd_00086,train,2,bridge,750,274,1160,460,76260,1660,1192,,,451,0.497,False,0.375
hrrsd_00086_001,hrrsd_00086,train,12,ground_track_field,232,506,477,645,34055,1660,1192,,,270,0.83,False,0.467
hrrsd_00095_000,hrrsd_00095,train,12,ground_track_field,238,345,676,569,98112,1288,824,,,482,0.465,False,0.422
hrrsd_00095_001,hrrsd_00095,train,0,basketball_court,321,261,360,340,3081,1288,824,,,87,2.575,False,0.407
hrrsd_00095_002,hrrsd_00095,train,0,basketball_court,359,261,402,340,3397,1288,824,,,87,2.575,False,0.449
hrrsd_00104_000,hrrsd_00104,train,12,ground_track_field,712,106,908,354,48608,1096,820,,,273,0.821,False,0.652
hrrsd_00104_001,hrrsd_00104,train,0,basketball_court,803,252,881,321,5382,1096,820,,,86,2.605,False,0.728
hrrsd_00104_002,hrrsd_00104,train,0,basketball_court,741,141,820,209,5372,1096,820,,,87,2.575,False,0.71
hrrsd_00117_000,hrrsd_00117,train,2,bridge,319,379,515,809,84280,909,1563,,,473,0.474,False,0.377
hrrsd_00117_001,hrrsd_00117,train,2,bridge,510,567,612,834,27234,909,1563,,,294,0.762,False,0.315
hrrsd_00117_002,hrrsd_00117,train,2,bridge,449,914,655,1368,93524,909,1563,,,499,0.449,False,0.376
hrrsd_00117_003,hrrsd_00117,train,2,bridge,611,894,679,1055,10948,909,1563,,,177,1.266,False,0.349
hrrsd_00117_004,hrrsd_00117,train,2,bridge,664,1077,722,1212,7830,909,1563,,,148,1.514,False,0.357
hrrsd_00131_000,hrrsd_00131,train,9,airplane,399,120,492,217,9021,1112,756,,,107,2.093,False,0.788
hrrsd_00131_001,hrrsd_00131,train,9,airplane,650,186,728,279,7254,1112,756,,,102,2.196,False,0.697
hrrsd_00131_002,hrrsd_00131,train,9,airplane,168,246,259,340,8554,1112,756,,,103,2.175,False,0.806
hrrsd_00131_003,hrrsd_00131,train,9,airplane,172,360,319,499,20433,1112,756,,,162,1.383,False,0.779
hrrsd_00131_004,hrrsd_00131,train,9,airplane,343,444,427,550,8904,1112,756,,,117,1.915,False,0.65
hrrsd_00131_005,hrrsd_00131,train,9,airplane,447,469,529,565,7872,1112,756,,,106,2.113,False,0.701
hrrsd_00131_006,hrrsd_00131,train,9,airplane,529,499,620,597,8918,1112,756,,,108,2.074,False,0.765
hrrsd_00145_000,hrrsd_00145,train,9,airplane,134,372,232,478,10388,1156,1040,,,117,1.915,False,0.759
hrrsd_00145_001,hrrsd_00145,train,9,airplane,426,552,524,638,8428,1156,1040,,,108,2.074,False,0.723
hrrsd_00151_000,hrrsd_00151,train,9,airplane,487,409,575,506,8536,952,760,,,107,2.093,False,0.746
hrrsd_00153_000,hrrsd_00153,train,8,tennis_court,303,328,343,388,2400,800,928,,,66,3.394,False,0.551
hrrsd_00153_001,hrrsd_00153,train,8,tennis_court,342,337,379,399,2294,800,928,,,68,3.294,False,0.496
hrrsd_00153_002,hrrsd_00153,train,0,basketball_court,255,507,303,575,3264,800,928,,,75,2.987,False,0.58
hrrsd_00153_003,hrrsd_00153,train,0,basketball_court,291,515,340,585,3430,800,928,,,77,2.909,False,0.579
hrrsd_00158_000,hrrsd_00158,train,9,airplane,484,64,586,157,9486,1048,712,,,112,2.0,False,0.756
hrrsd_00158_001,hrrsd_00158,train,9,airplane,396,336,499,425,9167,1048,712,,,113,1.982,False,0.718
hrrsd_00160_000,hrrsd_00160,train,5,storage_tank,968,1229,1154,1400,31806,1944,1856,,,205,1.093,False,0.757
hrrsd_00160_001,hrrsd_00160,train,5,storage_tank,1484,374,1595,479,11655,1944,1856,,,122,1.836,False,0.783
hrrsd_00160_002,hrrsd_00160,train,5,storage_tank,1577,572,1670,665,8649,1944,1856,,,102,2.196,False,0.831
hrrsd_00160_003,hrrsd_00160,train,5,storage_tank,1814,977,1898,1079,8568,1944,1856,,,112,2.0,False,0.683
hrrsd_00164_000,hrrsd_00164,train,5,storage_tank,200,59,383,227,30744,1600,1728,,,201,1.114,False,0.761
hrrsd_00164_001,hrrsd_00164,train,5,storage_tank,29,125,209,305,32400,1600,1728,,,198,1.131,False,0.826
hrrsd_00164_002,hrrsd_00164,train,5,storage_tank,206,233,389,413,32940,1600,1728,,,201,1.114,False,0.815
hrrsd_00164_003,hrrsd_00164,train,5,storage_tank,38,308,206,485,29736,1600,1728,,,195,1.149,False,0.782
hrrsd_00164_004,hrrsd_00164,train,5,storage_tank,230,560,380,707,22050,1600,1728,,,165,1.358,False,0.81
hrrsd_00164_005,hrrsd_00164,train,5,storage_tank,227,872,374,1010,20286,1600,1728,,,162,1.383,False,0.773
hrrsd_00164_006,hrrsd_00164,train,5,storage_tank,38,875,173,1010,18225,1600,1728,,,148,1.514,False,0.832
hrrsd_00164_007,hrrsd_00164,train,5,storage_tank,26,1118,227,1322,41004,1600,1728,,,224,1.0,False,0.817
hrrsd_00164_008,hrrsd_00164,train,5,storage_tank,47,1361,224,1553,33984,1600,1728,,,211,1.062,False,0.763
hrrsd_00164_009,hrrsd_00164,train,5,storage_tank,53,1544,224,1728,31464,1600,1728,,,202,1.109,False,0.771
hrrsd_00164_010,hrrsd_00164,train,5,storage_tank,227,1358,410,1547,34587,1600,1728,,,208,1.077,False,0.799
hrrsd_00164_011,hrrsd_00164,train,5,storage_tank,224,1544,413,1725,34209,1600,1728,,,208,1.077,False,0.791
hrrsd_00165_000,hrrsd_00165,train,5,storage_tank,884,484,1057,652,29064,1072,856,,,190,1.179,False,0.805
hrrsd_00165_001,hrrsd_00165,train,5,storage_tank,926,345,991,412,4355,1072,856,,,74,3.027,False,0.795
hrrsd_00165_002,hrrsd_00165,train,5,storage_tank,803,393,875,464,5112,1072,856,,,79,2.835,False,0.819
hrrsd_00165_003,hrrsd_00165,train,5,storage_tank,760,288,827,351,4221,1072,856,,,74,3.027,False,0.771
hrrsd_00165_004,hrrsd_00165,train,5,storage_tank,830,127,902,193,4752,1072,856,,,79,2.835,False,0.761
hrrsd_00165_005,hrrsd_00165,train,5,storage_tank,875,232,952,306,5698,1072,856,,,85,2.635,False,0.789
hrrsd_00165_006,hrrsd_00165,train,5,storage_tank,715,177,785,241,4480,1072,856,,,77,2.909,False,0.756
hrrsd_00165_007,hrrsd_00165,train,5,storage_tank,665,63,737,138,5400,1072,856,,,82,2.732,False,0.803
hrrsd_00165_008,hrrsd_00165,train,5,storage_tank,440,174,585,307,19285,1072,856,,,160,1.4,False,0.753
hrrsd_00168_000,hrrsd_00168,train,5,storage_tank,27,1091,168,1221,18330,1040,1496,,,155,1.445,False,0.763
hrrsd_00168_001,hrrsd_00168,train,5,storage_tank,546,1184,753,1388,42228,1040,1496,,,228,0.982,False,0.812
hrrsd_00168_002,hrrsd_00168,train,5,storage_tank,612,575,744,714,18348,1040,1496,,,153,1.464,False,0.784
hrrsd_00168_003,hrrsd_00168,train,5,storage_tank,468,872,534,938,4356,1040,1496,,,73,3.068,False,0.817
hrrsd_00168_004,hrrsd_00168,train,5,storage_tank,349,920,412,991,4473,1040,1496,,,78,2.872,False,0.735
hrrsd_00168_005,hrrsd_00168,train,5,storage_tank,254,719,334,795,6080,1040,1496,,,88,2.545,False,0.785
hrrsd_00168_006,hrrsd_00168,train,5,storage_tank,382,678,457,744,4950,1040,1496,,,82,2.732,False,0.736
hrrsd_00168_007,hrrsd_00168,train,5,storage_tank,290,812,379,894,7298,1040,1496,,,98,2.286,False,0.76
hrrsd_00168_008,hrrsd_00168,train,5,storage_tank,421,770,498,836,5082,1040,1496,,,85,2.635,False,0.703
hrrsd_00168_009,hrrsd_00168,train,5,storage_tank,393,1030,463,1104,5180,1040,1496,,,81,2.765,False,0.79
hrrsd_00173_000,hrrsd_00173,train,5,storage_tank,64,408,246,584,32032,1084,808,,,200,1.12,False,0.801
hrrsd_00173_001,hrrsd_00173,train,5,storage_tank,39,583,139,677,9400,1084,808,,,110,2.036,False,0.777
hrrsd_00173_002,hrrsd_00173,train,5,storage_tank,121,650,219,758,10584,1084,808,,,119,1.882,False,0.747
hrrsd_00177_000,hrrsd_00177,train,2,bridge,529,471,777,743,67456,976,836,,,299,0.749,False,0.755
hrrsd_00179_000,hrrsd_00179,train,2,bridge,599,292,688,610,28302,1078,952,,,350,0.64,False,0.231
hrrsd_00181_000,hrrsd_00181,train,2,bridge,857,110,1721,695,505440,2112,1464,,,950,0.236,False,0.56
hrrsd_00182_000,hrrsd_00182,train,6,ship,683,249,963,821,160160,1016,860,,,629,0.356,False,0.405
hrrsd_00184_000,hrrsd_00184,train,6,ship,828,112,1396,416,172672,1576,1348,,,625,0.358,False,0.442
hrrsd_00184_001,hrrsd_00184,train,6,ship,22,14,610,314,176400,1576,1348,,,647,0.346,False,0.421
hrrsd_00184_002,hrrsd_00184,train,5,storage_tank,800,1040,898,1134,9212,1576,1348,,,108,2.074,False,0.79
hrrsd_00184_003,hrrsd_00184,train,5,storage_tank,468,1182,546,1270,6864,1576,1348,,,97,2.309,False,0.73
hrrsd_00184_004,hrrsd_00184,train,5,storage_tank,358,1238,444,1314,6536,1576,1348,,,95,2.358,False,0.724
hrrsd_00186_000,hrrsd_00186,train,2,bridge,523,360,592,509,10281,820,716,,,164,1.366,False,0.382
hrrsd_00186_001,hrrsd_00186,train,2,bridge,625,349,763,561,29256,820,716,,,233,0.961,False,0.539
hrrsd_00189_000,hrrsd_00189,train,6,ship,648,434,722,732,22052,1248,1040,,,328,0.683,False,0.205
hrrsd_00193_000,hrrsd_00193,train,6,ship,44,215,920,752,470412,2528,1728,,,964,0.232,False,0.506
hrrsd_00193_001,hrrsd_00193,train,6,ship,1073,38,1544,335,139887,2528,1728,,,518,0.432,False,0.521
hrrsd_00193_002,hrrsd_00193,train,6,ship,1922,503,2495,875,213156,2528,1728,,,630,0.356,False,0.537
hrrsd_00205_000,hrrsd_00205,train,6,ship,516,141,693,411,47790,1111,768,,,297,0.754,False,0.542
hrrsd_00211_000,hrrsd_00211,train,5,storage_tank,147,558,240,655,9021,1470,898,,,107,2.093,False,0.788
hrrsd_00211_001,hrrsd_00211,train,5,storage_tank,267,654,370,750,9888,1470,898,,,113,1.982,False,0.774
hrrsd_00211_002,hrrsd_00211,train,5,storage_tank,394,789,471,865,5852,1470,898,,,85,2.635,False,0.81
hrrsd_00211_003,hrrsd_00211,train,5,storage_tank,328,492,421,594,9486,1470,898,,,112,2.0,False,0.756
hrrsd_00211_004,hrrsd_00211,train,5,storage_tank,460,595,558,699,10192,1470,898,,,114,1.965,False,0.784
hrrsd_00211_005,hrrsd_00211,train,5,storage_tank,304,366,357,421,2915,1470,898,,,61,3.672,False,0.783
hrrsd_00211_006,hrrsd_00211,train,5,storage_tank,619,621,678,682,3599,1470,898,,,67,3.343,False,0.802
hrrsd_00214_000,hrrsd_00214,train,5,storage_tank,33,342,79,391,2254,589,488,,,54,4.148,False,0.773
hrrsd_00214_001,hrrsd_00214,train,5,storage_tank,81,370,129,416,2208,589,488,,,53,4.226,False,0.786
hrrsd_00214_002,hrrsd_00214,train,5,storage_tank,134,399,176,443,1848,589,488,,,48,4.667,False,0.802
hrrsd_00214_003,hrrsd_00214,train,5,storage_tank,192,396,234,438,1764,589,488,,,46,4.87,False,0.834
hrrsd_00214_004,hrrsd_00214,train,5,storage_tank,314,409,360,454,2070,589,488,,,51,4.392,False,0.796
hrrsd_00214_005,hrrsd_00214,train,5,storage_tank,381,409,426,456,2115,589,488,,,52,4.308,False,0.782
hrrsd_00214_006,hrrsd_00214,train,5,storage_tank,513,408,558,456,2160,589,488,,,53,4.226,False,0.769
hrrsd_00227_000,hrrsd_00227,train,1,baseball_diamond,492,129,1014,675,285012,1185,1237,,,601,0.373,False,0.789
hrrsd_00234_000,hrrsd_00234,train,8,tennis_court,509,643,591,756,9266,966,811,,,124,1.806,False,0.603
hrrsd_00234_001,hrrsd_00234,train,8,tennis_court,569,622,649,732,8800,966,811,,,121,1.851,False,0.601
hrrsd_00234_002,hrrsd_00234,train,8,tennis_court,630,597,710,711,9120,966,811,,,125,1.792,False,0.584
hrrsd_00234_003,hrrsd_00234,train,8,tennis_court,695,579,773,689,8580,966,811,,,121,1.851,False,0.586
hrrsd_00234_004,hrrsd_00234,train,8,tennis_court,754,555,833,666,8769,966,811,,,122,1.836,False,0.589
hrrsd_00234_005,hrrsd_00234,train,8,tennis_court,818,533,896,643,8580,966,811,,,121,1.851,False,0.586
hrrsd_00234_006,hrrsd_00234,train,8,tennis_court,557,424,634,536,8624,966,811,,,123,1.821,False,0.57
hrrsd_00234_007,hrrsd_00234,train,8,tennis_court,615,402,696,513,8991,966,811,,,122,1.836,False,0.604
hrrsd_00234_008,hrrsd_00234,train,8,tennis_court,678,379,754,492,8588,966,811,,,124,1.806,False,0.559
hrrsd_00234_009,hrrsd_00234,train,8,tennis_court,739,357,816,473,8932,966,811,,,128,1.75,False,0.545
hrrsd_00234_010,hrrsd_00234,train,8,tennis_court,799,336,880,446,8910,966,811,,,121,1.851,False,0.609
hrrsd_00240_000,hrrsd_00240,train,8,tennis_court,169,692,285,773,9396,973,801,,,128,1.75,False,0.573
hrrsd_00240_001,hrrsd_00240,train,8,tennis_court,327,654,439,731,8624,973,801,,,123,1.821,False,0.57
hrrsd_00240_002,hrrsd_00240,train,8,tennis_court,481,615,591,692,8470,973,801,,,121,1.851,False,0.579
hrrsd_00241_000,hrrsd_00241,train,6,ship,381,84,831,595,229950,1489,1407,,,562,0.399,False,0.728
hrrsd_00241_001,hrrsd_00241,train,6,ship,891,662,1479,1292,370440,1489,1407,,,693,0.323,False,0.771
hrrsd_00246_000,hrrsd_00246,train,12,ground_track_field,323,458,764,1221,336483,2173,1531,,,839,0.267,False,0.478
hrrsd_00246_001,hrrsd_00246,train,8,tennis_court,1967,1081,2032,1192,7215,2173,1531,,,122,1.836,False,0.485
hrrsd_00246_002,hrrsd_00246,train,8,tennis_court,2031,1077,2095,1185,6912,2173,1531,,,119,1.882,False,0.488
hrrsd_00246_003,hrrsd_00246,train,8,tennis_court,1483,319,1546,430,6993,2173,1531,,,122,1.836,False,0.47
hrrsd_00246_004,hrrsd_00246,train,8,tennis_court,1550,314,1610,422,6480,2173,1531,,,119,1.882,False,0.458
hrrsd_00246_005,hrrsd_00246,train,8,tennis_court,1616,306,1674,418,6496,2173,1531,,,123,1.821,False,0.429
hrrsd_00246_006,hrrsd_00246,train,8,tennis_court,1689,300,1748,409,6431,2173,1531,,,120,1.867,False,0.447
hrrsd_00246_007,hrrsd_00246,train,8,tennis_court,1754,294,1812,403,6322,2173,1531,,,120,1.867,False,0.439
hrrsd_00246_008,hrrsd_00246,train,8,tennis_court,1820,285,1879,396,6549,2173,1531,,,122,1.836,False,0.44
hrrsd_00248_000,hrrsd_00248,train,1,baseball_diamond,458,737,921,1209,218536,967,1422,,,519,0.432,False,0.811
hrrsd_00254_000,hrrsd_00254,train,5,storage_tank,199,3,259,59,3360,820,522,,,66,3.394,False,0.771
hrrsd_00254_001,hrrsd_00254,train,5,storage_tank,223,95,281,154,3422,820,522,,,65,3.446,False,0.81
hrrsd_00254_002,hrrsd_00254,train,5,storage_tank,188,154,247,213,3481,820,522,,,65,3.446,False,0.824
hrrsd_00254_003,hrrsd_00254,train,5,storage_tank,165,58,225,122,3840,820,522,,,70,3.2,False,0.784
hrrsd_00254_004,hrrsd_00254,train,5,storage_tank,130,117,191,183,4026,820,522,,,73,3.068,False,0.755
hrrsd_00254_005,hrrsd_00254,train,5,storage_tank,104,43,159,97,2970,820,522,,,61,3.672,False,0.798
hrrsd_00254_006,hrrsd_00254,train,5,storage_tank,76,96,128,148,2704,820,522,,,57,3.93,False,0.832
hrrsd_00254_007,hrrsd_00254,train,5,storage_tank,25,65,77,116,2652,820,522,,,57,3.93,False,0.816
hrrsd_00254_008,hrrsd_00254,train,5,storage_tank,4,3,47,47,1892,820,522,,,48,4.667,False,0.821
hrrsd_00256_000,hrrsd_00256,train,1,baseball_diamond,202,287,534,676,129148,1088,772,,,428,0.523,False,0.705
hrrsd_00261_000,hrrsd_00261,train,1,baseball_diamond,591,380,960,710,121770,968,764,,,406,0.552,False,0.739
hrrsd_00261_001,hrrsd_00261,train,8,tennis_court,500,144,581,253,8829,968,764,,,120,1.867,False,0.613
hrrsd_00261_002,hrrsd_00261,train,8,tennis_court,566,113,647,222,8829,968,764,,,120,1.867,False,0.613
hrrsd_00261_003,hrrsd_00261,train,8,tennis_court,631,84,716,190,9010,968,764,,,117,1.915,False,0.658
hrrsd_00261_004,hrrsd_00261,train,8,tennis_court,565,291,646,398,8667,968,764,,,118,1.898,False,0.622
hrrsd_00261_005,hrrsd_00261,train,8,tennis_court,629,257,713,367,9240,968,764,,,121,1.851,False,0.631
hrrsd_00261_006,hrrsd_00261,train,8,tennis_court,698,229,780,340,9102,968,764,,,122,1.836,False,0.612
hrrsd_00262_000,hrrsd_00262,train,8,tennis_court,542,401,654,469,7616,1432,1108,,,123,1.821,False,0.503
hrrsd_00262_001,hrrsd_00262,train,8,tennis_court,554,469,661,534,6955,1432,1108,,,118,1.898,False,0.499
hrrsd_00262_002,hrrsd_00262,train,8,tennis_court,562,536,674,602,7392,1432,1108,,,123,1.821,False,0.489
hrrsd_00262_003,hrrsd_00262,train,8,tennis_court,694,379,804,446,7370,1432,1108,,,121,1.851,False,0.503
hrrsd_00262_004,hrrsd_00262,train,8,tennis_court,703,445,815,513,7616,1432,1108,,,123,1.821,False,0.503
hrrsd_00262_005,hrrsd_00262,train,8,tennis_court,714,514,822,579,7020,1432,1108,,,119,1.882,False,0.496
hrrsd_00265_000,hrrsd_00265,train,1,baseball_diamond,326,376,810,842,225544,1096,1652,,,532,0.421,False,0.797
hrrsd_00275_000,hrrsd_00275,train,1,baseball_diamond,134,839,554,1214,157500,1124,1560,,,462,0.485,False,0.738
hrrsd_00275_001,hrrsd_00275,train,1,baseball_diamond,203,1013,660,1492,218903,1124,1560,,,527,0.425,False,0.788
hrrsd_00275_002,hrrsd_00275,train,8,tennis_court,508,183,593,299,9860,1124,1560,,,128,1.75,False,0.602
hrrsd_00286_000,hrrsd_00286,train,8,tennis_court,275,225,368,343,10974,748,604,,,130,1.723,False,0.649
hrrsd_00286_001,hrrsd_00286,train,8,tennis_court,214,258,307,368,10230,748,604,,,121,1.851,False,0.699
hrrsd_00286_002,hrrsd_00286,train,1,baseball_diamond,364,59,601,334,65175,748,604,,,302,0.742,False,0.715
hrrsd_00293_000,hrrsd_00293,train,1,baseball_diamond,103,48,370,276,60876,1232,872,,,294,0.762,False,0.704
hrrsd_00297_000,hrrsd_00297,train,12,ground_track_field,342,181,487,402,32045,1069,811,,,243,0.922,False,0.543
hrrsd_00298_000,hrrsd_00298,train,2,bridge,675,375,1111,1395,444720,1585,2305,,,1122,0.2,False,0.353
hrrsd_00298_001,hrrsd_00298,train,2,bridge,168,1184,348,1530,62280,1585,2305,,,381,0.588,False,0.429
hrrsd_00298_002,hrrsd_00298,train,2,bridge,310,335,510,629,58800,1585,2305,,,323,0.693,False,0.564
hrrsd_00298_003,hrrsd_00298,train,2,bridge,4,201,276,261,16320,1585,2305,,,299,0.749,False,0.183
hrrsd_00301_000,hrrsd_00301,train,2,bridge,478,50,962,482,209088,1883,1459,,,532,0.421,False,0.739
hrrsd_00301_001,hrrsd_00301,train,2,bridge,619,1104,953,1266,54108,1883,1459,,,367,0.61,False,0.402
hrrsd_00306_000,hrrsd_00306,train,8,tennis_court,33,195,102,304,7521,1178,999,,,120,1.867,False,0.522
hrrsd_00306_001,hrrsd_00306,train,8,tennis_court,90,179,160,290,7770,1178,999,,,122,1.836,False,0.522
hrrsd_00306_002,hrrsd_00306,train,0,basketball_court,324,862,447,945,10209,1178,999,,,135,1.659,False,0.56
hrrsd_00307_000,hrrsd_00307,train,8,tennis_court,256,540,350,653,10622,1129,877,,,124,1.806,False,0.691
hrrsd_00307_001,hrrsd_00307,train,8,tennis_court,305,506,402,615,10573,1129,877,,,120,1.867,False,0.734
hrrsd_00307_002,hrrsd_00307,train,8,tennis_court,623,485,720,592,10379,1129,877,,,118,1.898,False,0.745
hrrsd_00307_003,hrrsd_00307,train,8,tennis_court,671,449,768,554,10185,1129,877,,,116,1.931,False,0.757
hrrsd_00307_004,hrrsd_00307,train,8,tennis_court,723,413,819,518,10080,1129,877,,,116,1.931,False,0.749
hrrsd_00307_005,hrrsd_00307,train,8,tennis_court,773,366,866,473,9951,1129,877,,,118,1.898,False,0.715
hrrsd_00307_006,hrrsd_00307,train,8,tennis_court,567,277,672,388,11655,1129,877,,,122,1.836,False,0.783
hrrsd_00307_007,hrrsd_00307,train,8,tennis_court,513,323,615,425,10404,1129,877,,,112,2.0,False,0.829
hrrsd_00307_008,hrrsd_00307,train,8,tennis_court,483,116,582,224,10692,1129,877,,,119,1.882,False,0.755
hrrsd_00307_009,hrrsd_00307,train,8,tennis_court,432,155,533,264,11009,1129,877,,,120,1.867,False,0.765
hrrsd_00307_010,hrrsd_00307,train,8,tennis_court,363,197,447,290,7812,1129,877,,,102,2.196,False,0.751
hrrsd_00312_000,hrrsd_00312,train,8,tennis_court,150,218,220,335,8190,859,667,,,129,1.736,False,0.492
hrrsd_00312_001,hrrsd_00312,train,8,tennis_court,215,206,285,319,7910,859,667,,,124,1.806,False,0.514
hrrsd_00312_002,hrrsd_00312,train,8,tennis_court,277,191,347,304,7910,859,667,,,124,1.806,False,0.514
hrrsd_00312_003,hrrsd_00312,train,8,tennis_court,341,179,409,289,7480,859,667,,,121,1.851,False,0.511
hrrsd_00312_004,hrrsd_00312,train,8,tennis_court,379,342,449,452,7700,859,667,,,121,1.851,False,0.526
hrrsd_00312_005,hrrsd_00312,train,8,tennis_court,314,354,382,467,7684,859,667,,,124,1.806,False,0.5
hrrsd_00312_006,hrrsd_00312,train,8,tennis_court,250,371,320,484,7910,859,667,,,124,1.806,False,0.514
