proposal_id,image_uid,predicted_class,verified_class,detector_confidence,verdict,iou,xmin,ymin,xmax,ymax
detector:nwpu_positive_044_det005,nwpu_positive_044,airplane,airplane,0.9238060712814331,accept,0.836,375,27,434,89
detector:nwpu_positive_044_det006,nwpu_positive_044,airplane,airplane,0.9211541414260864,accept,0.7781,287,27,355,100
detector:nwpu_positive_044_det007,nwpu_positive_044,airplane,airplane,0.9203290939331055,accept,0.811,881,356,940,423
detector:nwpu_positive_044_det008,nwpu_positive_044,airplane,airplane,0.9162565469741821,accept,0.9063,772,507,854,608
detector:nwpu_positive_044_det009,nwpu_positive_044,airplane,airplane,0.9147804379463196,accept,0.8146,18,192,83,246
detector:nwpu_positive_044_det010,nwpu_positive_044,airplane,airplane,0.912298858165741,accept,0.8227,405,159,466,229
detector:nwpu_positive_044_det011,nwpu_positive_044,airplane,airplane,0.9077081084251404,accept,0.8297,40,293,109,368
detector:nwpu_positive_044_det012,nwpu_positive_044,airplane,airplane,0.903137743473053,accept,0.7578,545,357,617,443
detector:nwpu_positive_044_det013,nwpu_positive_044,airplane,airplane,0.8990306854248047,accept,0.8695,316,172,378,242
detector:nwpu_positive_044_det014,nwpu_positive_044,airplane,airplane,0.8980115652084351,accept,0.8388,128,39,197,106
detector:nwpu_positive_044_det015,nwpu_positive_044,airplane,airplane,0.8955997228622437,accept,0.8065,674,503,757,600
detector:nwpu_positive_044_det016,nwpu_positive_044,airplane,airplane,0.8841355443000793,accept,0.7389,215,50,259,97
detector:nwpu_positive_044_det017,nwpu_positive_044,airplane,airplane,0.8833115100860596,accept,0.8404,484,520,559,599
detector:nwpu_positive_044_det018,nwpu_positive_044,airplane,airplane,0.8825361728668213,accept,0.8913,578,174,636,235
detector:nwpu_positive_044_det019,nwpu_positive_044,airplane,airplane,0.8716844320297241,accept,0.7427,447,359,522,442
detector:nwpu_positive_044_det020,nwpu_positive_044,airplane,airplane,0.862156331539154,accept,0.8277,575,509,656,598
detector:nwpu_positive_044_det021,nwpu_positive_044,airplane,airplane,0.8569637537002563,accept,0.7188,69,116,146,172
detector:nwpu_positive_044_det022,nwpu_positive_044,airplane,airplane,0.8422024250030518,accept,0.758,357,359,422,443
detector:nwpu_positive_044_det023,nwpu_positive_044,airplane,airplane,0.7747050523757935,adjust,0.6914,126,335,189,404
detector:nwpu_positive_044_det024,nwpu_positive_044,airplane,airplane,0.6346198320388794,adjust,0.4175,126,360,180,406
detector:nwpu_positive_044_det025,nwpu_positive_044,airplane,airplane,0.5259858965873718,reject_localisation,0.014,321,434,364,481
detector:nwpu_positive_044_det026,nwpu_positive_044,airplane,airplane,0.4900156259536743,accept,0.7062,866,192,906,242
detector:nwpu_positive_044_det027,nwpu_positive_044,airplane,,0.17765392363071442,reject_background,0.0,865,507,919,549
detector:nwpu_positive_044_det028,nwpu_positive_044,airplane,,0.12411230802536011,reject_background,0.0,990,352,999,401
detector:nwpu_positive_044_det029,nwpu_positive_044,airplane,airplane,0.08888483792543411,reject_localisation,0.2218,143,328,183,361
detector:nwpu_positive_044_det030,nwpu_positive_044,airplane,,0.07089788466691971,reject_background,0.0,989,357,999,415
detector:nwpu_positive_048_det000,nwpu_positive_048,airplane,airplane,0.9523304104804993,accept,0.914,139,173,215,235
detector:nwpu_positive_048_det001,nwpu_positive_048,airplane,airplane,0.898453414440155,accept,0.7955,120,58,226,156
detector:nwpu_positive_048_det002,nwpu_positive_048,airplane,airplane,0.8885372281074524,adjust,0.6897,582,523,668,605
detector:nwpu_positive_048_det003,nwpu_positive_048,airplane,airplane,0.8862131834030151,accept,0.8566,345,296,424,360
detector:nwpu_positive_048_det004,nwpu_positive_048,airplane,airplane,0.8802326321601868,accept,0.8257,23,213,135,353
detector:nwpu_positive_048_det005,nwpu_positive_048,airplane,airplane,0.8624914884567261,adjust,0.6907,325,113,409,182
detector:nwpu_positive_048_det006,nwpu_positive_048,airplane,airplane,0.8603889346122742,accept,0.849,185,481,257,549
detector:nwpu_positive_048_det007,nwpu_positive_048,airplane,airplane,0.8154768347740173,accept,0.8045,316,34,397,104
detector:nwpu_positive_048_det008,nwpu_positive_048,storage_tank,,0.5219861268997192,reject_background,0.0,268,275,305,309
detector:nwpu_positive_048_det009,nwpu_positive_048,storage_tank,,0.26154786348342896,reject_background,0.0,624,230,666,267
detector:nwpu_positive_048_det010,nwpu_positive_048,airplane,,0.20024363696575165,reject_background,0.0,539,15,575,46
detector:nwpu_positive_048_det011,nwpu_positive_048,airplane,,0.08334065228700638,reject_background,0.0,221,227,261,270
detector:nwpu_positive_058_det000,nwpu_positive_058,airplane,airplane,0.9576022028923035,accept,0.8021,660,435,702,485
detector:nwpu_positive_058_det001,nwpu_positive_058,airplane,airplane,0.9503621459007263,accept,0.8429,526,652,574,712
detector:nwpu_positive_058_det002,nwpu_positive_058,airplane,airplane,0.9274211525917053,accept,0.8716,229,353,301,408
detector:nwpu_positive_058_det003,nwpu_positive_058,airplane,airplane,0.9258346557617188,accept,0.8767,596,429,643,481
detector:nwpu_positive_058_det004,nwpu_positive_058,airplane,airplane,0.9191771149635315,accept,0.8968,20,556,93,613
detector:nwpu_positive_058_det005,nwpu_positive_058,airplane,airplane,0.9156618714332581,accept,0.8925,340,509,416,575
detector:nwpu_positive_058_det006,nwpu_positive_058,airplane,airplane,0.9003139138221741,accept,0.7802,826,569,895,624
detector:nwpu_positive_058_det007,nwpu_positive_058,airplane,airplane,0.8959239721298218,accept,0.9219,165,476,243,544
detector:nwpu_positive_058_det008,nwpu_positive_058,airplane,airplane,0.8928886651992798,accept,0.8273,361,625,416,701
detector:nwpu_positive_058_det009,nwpu_positive_058,airplane,airplane,0.8779305815696716,accept,0.8942,75,463,152,526
detector:nwpu_positive_058_det010,nwpu_positive_058,airplane,airplane,0.8549093008041382,accept,0.8394,434,634,491,715
detector:nwpu_positive_058_det011,nwpu_positive_058,airplane,airplane,0.840271532535553,accept,0.9207,141,333,210,389
detector:nwpu_positive_060_det000,nwpu_positive_060,airplane,airplane,0.8933813571929932,accept,0.8586,80,628,178,712
detector:nwpu_positive_060_det001,nwpu_positive_060,airplane,airplane,0.8817543387413025,accept,0.8613,531,66,594,119
detector:nwpu_positive_075_det000,nwpu_positive_075,airplane,airplane,0.977415144443512,accept,0.8281,732,434,805,503
detector:nwpu_positive_075_det001,nwpu_positive_075,airplane,airplane,0.9193685054779053,accept,0.8232,491,435,536,480
detector:nwpu_positive_075_det002,nwpu_positive_075,airplane,airplane,0.8562186360359192,accept,0.887,163,315,236,390
detector:nwpu_positive_075_det003,nwpu_positive_075,airplane,airplane,0.822306752204895,accept,0.8922,794,514,883,595
detector:nwpu_positive_081_det000,nwpu_positive_081,baseball_diamond,baseball_diamond,0.9631509184837341,accept,0.9084,253,388,323,463
detector:nwpu_positive_081_det001,nwpu_positive_081,baseball_diamond,baseball_diamond,0.9445381760597229,accept,0.8712,831,208,906,286
detector:nwpu_positive_081_det002,nwpu_positive_081,baseball_diamond,baseball_diamond,0.9356838464736938,accept,0.9526,812,483,891,567
detector:nwpu_positive_081_det003,nwpu_positive_081,tennis_court,tennis_court,0.9060932993888855,accept,0.7812,649,219,686,281
detector:nwpu_positive_081_det004,nwpu_positive_081,tennis_court,tennis_court,0.897917628288269,accept,0.8166,654,336,690,394
detector:nwpu_positive_081_det005,nwpu_positive_081,baseball_diamond,,0.8449211716651917,reject_background,0.0,411,259,464,314
detector:nwpu_positive_081_det006,nwpu_positive_081,baseball_diamond,,0.8026065826416016,reject_background,0.0,368,537,418,596
detector:nwpu_positive_081_det007,nwpu_positive_081,tennis_court,tennis_court,0.7740189433097839,accept,0.8553,650,278,688,334
detector:nwpu_positive_081_det008,nwpu_positive_081,baseball_diamond,,0.6972277760505676,reject_background,0.0,302,541,356,599
detector:nwpu_positive_081_det009,nwpu_positive_081,tennis_court,tennis_court,0.4704854488372803,accept,0.8524,649,167,683,224
detector:nwpu_positive_081_det010,nwpu_positive_081,baseball_diamond,,0.10503250360488892,reject_background,0.0,137,49,253,148
detector:nwpu_positive_081_det011,nwpu_positive_081,baseball_diamond,,0.07904087752103806,reject_background,0.0,764,128,808,172
detector:nwpu_positive_081_det012,nwpu_positive_081,tennis_court,,0.05731741338968277,reject_background,0.0,462,68,511,155
detector:nwpu_positive_081_det013,nwpu_positive_081,tennis_court,tennis_court,0.0542355552315712,accept,0.8296,642,55,678,108
detector:nwpu_positive_100_det000,nwpu_positive_100,baseball_diamond,baseball_diamond,0.7521268725395203,accept,0.8832,327,245,430,363
detector:nwpu_positive_103_det000,nwpu_positive_103,baseball_diamond,baseball_diamond,0.9186505675315857,accept,0.7966,349,215,466,311
detector:nwpu_positive_103_det001,nwpu_positive_103,baseball_diamond,baseball_diamond,0.9169077277183533,accept,0.7407,596,327,669,390
detector:nwpu_positive_103_det002,nwpu_positive_103,baseball_diamond,baseball_diamond,0.9119065403938293,accept,0.802,96,312,214,408
detector:nwpu_positive_103_det003,nwpu_positive_103,baseball_diamond,,0.129163920879364,reject_background,0.0,227,103,306,156
detector:nwpu_positive_112_det000,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9788466095924377,accept,0.9551,376,269,444,329
detector:nwpu_positive_112_det001,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9605321884155273,accept,0.8866,732,113,833,207
detector:nwpu_positive_112_det002,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9566990733146667,accept,0.8774,490,171,551,229
detector:nwpu_positive_112_det003,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9370091557502747,accept,0.8853,677,30,767,136
detector:nwpu_positive_112_det004,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9102826714515686,accept,0.9461,364,123,437,194
detector:nwpu_positive_112_det005,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9065060019493103,accept,0.9444,512,54,566,107
detector:nwpu_positive_112_det006,nwpu_positive_112,baseball_diamond,baseball_diamond,0.9002898931503296,accept,0.9587,511,247,582,318
detector:nwpu_positive_112_det007,nwpu_positive_112,baseball_diamond,baseball_diamond,0.8824845552444458,accept,0.8219,477,327,536,394
detector:nwpu_positive_112_det008,nwpu_positive_112,baseball_diamond,baseball_diamond,0.26682043075561523,adjust,0.6115,458,330,535,399
detector:nwpu_positive_114_det000,nwpu_positive_114,baseball_diamond,baseball_diamond,0.9510385394096375,accept,0.8725,400,221,485,294
detector:nwpu_positive_114_det001,nwpu_positive_114,baseball_diamond,baseball_diamond,0.9361687302589417,accept,0.8026,159,188,249,262
detector:nwpu_positive_114_det002,nwpu_positive_114,baseball_diamond,baseball_diamond,0.9274399280548096,accept,0.7998,330,322,418,402
detector:nwpu_positive_114_det003,nwpu_positive_114,baseball_diamond,baseball_diamond,0.8190112709999084,accept,0.8264,155,328,276,434
detector:nwpu_positive_114_det004,nwpu_positive_114,baseball_diamond,baseball_diamond,0.804116427898407,accept,0.891,289,126,420,221
detector:nwpu_positive_117_det000,nwpu_positive_117,baseball_diamond,baseball_diamond,0.9664148092269897,adjust,0.5868,350,277,418,337
detector:nwpu_positive_117_det001,nwpu_positive_117,baseball_diamond,baseball_diamond,0.9474799036979675,accept,0.7526,318,153,421,239
detector:nwpu_positive_117_det002,nwpu_positive_117,baseball_diamond,baseball_diamond,0.9440008997917175,accept,0.7968,471,177,534,233
detector:nwpu_positive_117_det003,nwpu_positive_117,baseball_diamond,baseball_diamond,0.9154965877532959,accept,0.8235,470,274,536,334
detector:nwpu_positive_118_det000,nwpu_positive_118,baseball_diamond,baseball_diamond,0.9369502067565918,accept,0.9512,483,144,583,242
detector:nwpu_positive_118_det001,nwpu_positive_118,storage_tank,,0.3063902258872986,reject_background,0.0,150,584,204,638
detector:nwpu_positive_142_det000,nwpu_positive_142,tennis_court,tennis_court,0.9615525007247925,accept,0.8603,152,132,226,215
detector:nwpu_positive_142_det001,nwpu_positive_142,tennis_court,tennis_court,0.9447782635688782,accept,0.7722,205,146,280,230
detector:nwpu_positive_142_det002,nwpu_positive_142,basketball_court,basketball_court,0.9432432055473328,accept,0.7351,111,240,230,319
detector:nwpu_positive_142_det003,nwpu_positive_142,basketball_court,basketball_court,0.9048284292221069,accept,0.7988,87,300,205,384
detector:nwpu_positive_142_det004,nwpu_positive_142,ground_track_field,,0.08425301313400269,reject_background,0.0,710,104,793,286
detector:nwpu_positive_145_det000,nwpu_positive_145,tennis_court,tennis_court,0.9465329051017761,accept,0.7725,487,305,562,391
detector:nwpu_positive_145_det001,nwpu_positive_145,tennis_court,tennis_court,0.9425965547561646,accept,0.8273,545,328,619,416
detector:nwpu_positive_145_det002,nwpu_positive_145,basketball_court,basketball_court,0.9152764081954956,accept,0.8864,533,242,645,317
detector:nwpu_positive_145_det003,nwpu_positive_145,tennis_court,tennis_court,0.8850813508033752,accept,0.8779,435,415,513,508
detector:nwpu_positive_145_det004,nwpu_positive_145,basketball_court,basketball_court,0.8819083571434021,accept,0.9121,556,193,666,269
detector:nwpu_positive_145_det005,nwpu_positive_145,tennis_court,tennis_court,0.8660542368888855,accept,0.9186,492,440,572,535
detector:nwpu_positive_145_det006,nwpu_positive_145,basketball_court,basketball_court,0.5255122184753418,adjust,0.4115,537,229,661,286
detector:nwpu_positive_160_det000,nwpu_positive_160,basketball_court,basketball_court,0.8632186055183411,accept,0.819,339,416,471,517
detector:nwpu_positive_161_det000,nwpu_positive_161,basketball_court,basketball_court,0.856617271900177,accept,0.949,37,403,131,466
detector:nwpu_positive_161_det001,nwpu_positive_161,basketball_court,basketball_court,0.6145979762077332,reject_localisation,0.0888,0,354,107,416
detector:nwpu_positive_162_det000,nwpu_positive_162,basketball_court,basketball_court,0.8738470077514648,accept,0.9565,390,235,496,313
detector:nwpu_positive_162_det001,nwpu_positive_162,basketball_court,basketball_court,0.7759289145469666,accept,0.7155,342,190,435,276
detector:nwpu_positive_162_det002,nwpu_positive_162,tennis_court,basketball_court,0.05815807357430458,reject_localisation,0.0595,422,300,459,330
detector:nwpu_positive_163_det000,nwpu_positive_163,basketball_court,basketball_court,0.9516342282295227,accept,0.9424,320,207,398,310
detector:nwpu_positive_163_det001,nwpu_positive_163,basketball_court,basketball_court,0.9243231415748596,accept,0.8398,305,137,424,200
detector:nwpu_positive_163_det002,nwpu_positive_163,basketball_court,basketball_court,0.12881596386432648,reject_localisation,0.0246,295,206,323,246
detector:nwpu_positive_163_det003,nwpu_positive_163,baseball_diamond,,0.11559591442346573,reject_background,0.0,872,186,916,279
detector:nwpu_positive_167_det000,nwpu_positive_167,bridge,bridge,0.4645369350910187,accept,0.77,295,188,416,267
detector:nwpu_positive_170_det000,nwpu_positive_170,ground_track_field,,0.9402869939804077,reject_background,0.0,143,100,243,279
detector:nwpu_positive_170_det001,nwpu_positive_170,bridge,bridge,0.8371825814247131,accept,0.7538,380,186,576,312
detector:nwpu_positive_170_det002,nwpu_positive_170,tennis_court,,0.12748725712299347,reject_background,0.0,129,49,178,77
detector:nwpu_positive_170_det003,nwpu_positive_170,tennis_court,,0.11405342072248459,reject_background,0.0,131,18,180,45
