image_uid,image_id,image_path,annotation_path,is_background,split,seed,train_ratio,val_ratio,test_ratio
nwpu_positive_218,218,NWPU VHR-10 dataset/positive image set/218.jpg,NWPU VHR-10 dataset/ground truth/218.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_223,223,NWPU VHR-10 dataset/positive image set/223.jpg,NWPU VHR-10 dataset/ground truth/223.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_226,226,NWPU VHR-10 dataset/positive image set/226.jpg,NWPU VHR-10 dataset/ground truth/226.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_239,239,NWPU VHR-10 dataset/positive image set/239.jpg,NWPU VHR-10 dataset/ground truth/239.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_242,242,NWPU VHR-10 dataset/positive image set/242.jpg,NWPU VHR-10 dataset/ground truth/242.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_264,264,NWPU VHR-10 dataset/positive image set/264.jpg,NWPU VHR-10 dataset/ground truth/264.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_269,269,NWPU VHR-10 dataset/positive image set/269.jpg,NWPU VHR-10 dataset/ground truth/269.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_277,277,NWPU VHR-10 dataset/positive image set/277.jpg,NWPU VHR-10 dataset/ground truth/277.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_281,281,NWPU VHR-10 dataset/positive image set/281.jpg,NWPU VHR-10 dataset/ground truth/281.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_284,284,NWPU VHR-10 dataset/positive image set/284.jpg,NWPU VHR-10 dataset/ground truth/284.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_294,294,NWPU VHR-10 dataset/positive image set/294.jpg,NWPU VHR-10 dataset/ground truth/294.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_296,296,NWPU VHR-10 dataset/positive image set/296.jpg,NWPU VHR-10 dataset/ground truth/296.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_304,304,NWPU VHR-10 dataset/positive image set/304.jpg,NWPU VHR-10 dataset/ground truth/304.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_305,305,NWPU VHR-10 dataset/positive image set/305.jpg,NWPU VHR-10 dataset/ground truth/305.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_321,321,NWPU VHR-10 dataset/positive image set/321.jpg,NWPU VHR-10 dataset/ground truth/321.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_323,323,NWPU VHR-10 dataset/positive image set/323.jpg,NWPU VHR-10 dataset/ground truth/323.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_342,342,NWPU VHR-10 dataset/positive image set/342.jpg,NWPU VHR-10 dataset/ground truth/342.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_344,344,NWPU VHR-10 dataset/positive image set/344.jpg,NWPU VHR-10 dataset/ground truth/344.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_348,348,NWPU VHR-10 dataset/positive image set/348.jpg,NWPU VHR-10 dataset/ground truth/348.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_354,354,NWPU VHR-10 dataset/positive image set/354.jpg,NWPU VHR-10 dataset/ground truth/354.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_363,363,NWPU VHR-10 dataset/positive image set/363.jpg,NWPU VHR-10 dataset/ground truth/363.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_367,367,NWPU VHR-10 dataset/positive image set/367.jpg,NWPU VHR-10 dataset/ground truth/367.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_370,370,NWPU VHR-10 dataset/positive image set/370.jpg,NWPU VHR-10 dataset/ground truth/370.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_372,372,NWPU VHR-10 dataset/positive image set/372.jpg,NWPU VHR-10 dataset/ground truth/372.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_388,388,NWPU VHR-10 dataset/positive image set/388.jpg,NWPU VHR-10 dataset/ground truth/388.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_393,393,NWPU VHR-10 dataset/positive image set/393.jpg,NWPU VHR-10 dataset/ground truth/393.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_407,407,NWPU VHR-10 dataset/positive image set/407.jpg,NWPU VHR-10 dataset/ground truth/407.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_413,413,NWPU VHR-10 dataset/positive image set/413.jpg,NWPU VHR-10 dataset/ground truth/413.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_416,416,NWPU VHR-10 dataset/positive image set/416.jpg,NWPU VHR-10 dataset/ground truth/416.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_417,417,NWPU VHR-10 dataset/positive image set/417.jpg,NWPU VHR-10 dataset/ground truth/417.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_418,418,NWPU VHR-10 dataset/positive image set/418.jpg,NWPU VHR-10 dataset/ground truth/418.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_419,419,NWPU VHR-10 dataset/positive image set/419.jpg,NWPU VHR-10 dataset/ground truth/419.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_420,420,NWPU VHR-10 dataset/positive image set/420.jpg,NWPU VHR-10 dataset/ground truth/420.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_421,421,NWPU VHR-10 dataset/positive image set/421.jpg,NWPU VHR-10 dataset/ground truth/421.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_436,436,NWPU VHR-10 dataset/positive image set/436.jpg,NWPU VHR-10 dataset/ground truth/436.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_459,459,NWPU VHR-10 dataset/positive image set/459.jpg,NWPU VHR-10 dataset/ground truth/459.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_462,462,NWPU VHR-10 dataset/positive image set/462.jpg,NWPU VHR-10 dataset/ground truth/462.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_466,466,NWPU VHR-10 dataset/positive image set/466.jpg,NWPU VHR-10 dataset/ground truth/466.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_467,467,NWPU VHR-10 dataset/positive image set/467.jpg,NWPU VHR-10 dataset/ground truth/467.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_469,469,NWPU VHR-10 dataset/positive image set/469.jpg,NWPU VHR-10 dataset/ground truth/469.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_470,470,NWPU VHR-10 dataset/positive image set/470.jpg,NWPU VHR-10 dataset/ground truth/470.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_476,476,NWPU VHR-10 dataset/positive image set/476.jpg,NWPU VHR-10 dataset/ground truth/476.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_477,477,NWPU VHR-10 dataset/positive image set/477.jpg,NWPU VHR-10 dataset/ground truth/477.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_481,481,NWPU VHR-10 dataset/positive image set/481.jpg,NWPU VHR-10 dataset/ground truth/481.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_483,483,NWPU VHR-10 dataset/positive image set/483.jpg,NWPU VHR-10 dataset/ground truth/483.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_485,485,NWPU VHR-10 dataset/positive image set/485.jpg,NWPU VHR-10 dataset/ground truth/485.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_505,505,NWPU VHR-10 dataset/positive image set/505.jpg,NWPU VHR-10 dataset/ground truth/505.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_508,508,NWPU VHR-10 dataset/positive image set/508.jpg,NWPU VHR-10 dataset/ground truth/508.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_510,510,NWPU VHR-10 dataset/positive image set/510.jpg,NWPU VHR-10 dataset/ground truth/510.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_521,521,NWPU VHR-10 dataset/positive image set/521.jpg,NWPU VHR-10 dataset/ground truth/521.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_532,532,NWPU VHR-10 dataset/positive image set/532.jpg,NWPU VHR-10 dataset/ground truth/532.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_539,539,NWPU VHR-10 dataset/positive image set/539.jpg,NWPU VHR-10 dataset/ground truth/539.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_540,540,NWPU VHR-10 dataset/positive image set/540.jpg,NWPU VHR-10 dataset/ground truth/540.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_542,542,NWPU VHR-10 dataset/positive image set/542.jpg,NWPU VHR-10 dataset/ground truth/542.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_551,551,NWPU VHR-10 dataset/positive image set/551.jpg,NWPU VHR-10 dataset/ground truth/551.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_552,552,NWPU VHR-10 dataset/positive image set/552.jpg,NWPU VHR-10 dataset/ground truth/552.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_554,554,NWPU VHR-10 dataset/positive image set/554.jpg,NWPU VHR-10 dataset/ground truth/554.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_568,568,NWPU VHR-10 dataset/positive image set/568.jpg,NWPU VHR-10 dataset/ground truth/568.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_602,602,NWPU VHR-10 dataset/positive image set/602.jpg,NWPU VHR-10 dataset/ground truth/602.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_606,606,NWPU VHR-10 dataset/positive image set/606.jpg,NWPU VHR-10 dataset/ground truth/606.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_608,608,NWPU VHR-10 dataset/positive image set/608.jpg,NWPU VHR-10 dataset/ground truth/608.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_612,612,NWPU VHR-10 dataset/positive image set/612.jpg,NWPU VHR-10 dataset/ground truth/612.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_613,613,NWPU VHR-10 dataset/positive image set/613.jpg,NWPU VHR-10 dataset/ground truth/613.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_635,635,NWPU VHR-10 dataset/positive image set/635.jpg,NWPU VHR-10 dataset/ground truth/635.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_637,637,NWPU VHR-10 dataset/positive image set/637.jpg,NWPU VHR-10 dataset/ground truth/637.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_640,640,NWPU VHR-10 dataset/positive image set/640.jpg,NWPU VHR-10 dataset/ground truth/640.txt,False,test,42,0.7,0.15,0.15
nwpu_background_001,001,NWPU VHR-10 dataset/negative image set/001.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_002,002,NWPU VHR-10 dataset/positive image set/002.jpg,NWPU VHR-10 dataset/ground truth/002.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_003,003,NWPU VHR-10 dataset/positive image set/003.jpg,NWPU VHR-10 dataset/ground truth/003.txt,False,train,42,0.7,0.15,0.15
nwpu_background_003,003,NWPU VHR-10 dataset/negative image set/003.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_004,004,NWPU VHR-10 dataset/positive image set/004.jpg,NWPU VHR-10 dataset/ground truth/004.txt,False,train,42,0.7,0.15,0.15
nwpu_background_004,004,NWPU VHR-10 dataset/negative image set/004.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_006,006,NWPU VHR-10 dataset/negative image set/006.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_007,007,NWPU VHR-10 dataset/positive image set/007.jpg,NWPU VHR-10 dataset/ground truth/007.txt,False,train,42,0.7,0.15,0.15
nwpu_background_007,007,NWPU VHR-10 dataset/negative image set/007.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_008,008,NWPU VHR-10 dataset/positive image set/008.jpg,NWPU VHR-10 dataset/ground truth/008.txt,False,train,42,0.7,0.15,0.15
nwpu_background_009,009,NWPU VHR-10 dataset/negative image set/009.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_010,010,NWPU VHR-10 dataset/negative image set/010.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_011,011,NWPU VHR-10 dataset/positive image set/011.jpg,NWPU VHR-10 dataset/ground truth/011.txt,False,train,42,0.7,0.15,0.15
nwpu_background_011,011,NWPU VHR-10 dataset/negative image set/011.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_012,012,NWPU VHR-10 dataset/positive image set/012.jpg,NWPU VHR-10 dataset/ground truth/012.txt,False,train,42,0.7,0.15,0.15
nwpu_background_012,012,NWPU VHR-10 dataset/negative image set/012.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_013,013,NWPU VHR-10 dataset/positive image set/013.jpg,NWPU VHR-10 dataset/ground truth/013.txt,False,train,42,0.7,0.15,0.15
nwpu_background_013,013,NWPU VHR-10 dataset/negative image set/013.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_014,014,NWPU VHR-10 dataset/positive image set/014.jpg,NWPU VHR-10 dataset/ground truth/014.txt,False,train,42,0.7,0.15,0.15
nwpu_background_015,015,NWPU VHR-10 dataset/negative image set/015.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_016,016,NWPU VHR-10 dataset/negative image set/016.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_017,017,NWPU VHR-10 dataset/positive image set/017.jpg,NWPU VHR-10 dataset/ground truth/017.txt,False,train,42,0.7,0.15,0.15
nwpu_background_017,017,NWPU VHR-10 dataset/negative image set/017.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_018,018,NWPU VHR-10 dataset/positive image set/018.jpg,NWPU VHR-10 dataset/ground truth/018.txt,False,train,42,0.7,0.15,0.15
nwpu_background_018,018,NWPU VHR-10 dataset/negative image set/018.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_019,019,NWPU VHR-10 dataset/negative image set/019.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_020,020,NWPU VHR-10 dataset/negative image set/020.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_021,021,NWPU VHR-10 dataset/positive image set/021.jpg,NWPU VHR-10 dataset/ground truth/021.txt,False,train,42,0.7,0.15,0.15
nwpu_background_021,021,NWPU VHR-10 dataset/negative image set/021.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_023,023,NWPU VHR-10 dataset/positive image set/023.jpg,NWPU VHR-10 dataset/ground truth/023.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_024,024,NWPU VHR-10 dataset/positive image set/024.jpg,NWPU VHR-10 dataset/ground truth/024.txt,False,train,42,0.7,0.15,0.15
nwpu_background_024,024,NWPU VHR-10 dataset/negative image set/024.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_025,025,NWPU VHR-10 dataset/positive image set/025.jpg,NWPU VHR-10 dataset/ground truth/025.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_027,027,NWPU VHR-10 dataset/positive image set/027.jpg,NWPU VHR-10 dataset/ground truth/027.txt,False,train,42,0.7,0.15,0.15
nwpu_background_027,027,NWPU VHR-10 dataset/negative image set/027.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_028,028,NWPU VHR-10 dataset/negative image set/028.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_029,029,NWPU VHR-10 dataset/positive image set/029.jpg,NWPU VHR-10 dataset/ground truth/029.txt,False,train,42,0.7,0.15,0.15
nwpu_background_029,029,NWPU VHR-10 dataset/negative image set/029.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_030,030,NWPU VHR-10 dataset/positive image set/030.jpg,NWPU VHR-10 dataset/ground truth/030.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_031,031,NWPU VHR-10 dataset/positive image set/031.jpg,NWPU VHR-10 dataset/ground truth/031.txt,False,train,42,0.7,0.15,0.15
nwpu_background_031,031,NWPU VHR-10 dataset/negative image set/031.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_032,032,NWPU VHR-10 dataset/positive image set/032.jpg,NWPU VHR-10 dataset/ground truth/032.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_033,033,NWPU VHR-10 dataset/positive image set/033.jpg,NWPU VHR-10 dataset/ground truth/033.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_034,034,NWPU VHR-10 dataset/positive image set/034.jpg,NWPU VHR-10 dataset/ground truth/034.txt,False,train,42,0.7,0.15,0.15
nwpu_background_034,034,NWPU VHR-10 dataset/negative image set/034.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_036,036,NWPU VHR-10 dataset/positive image set/036.jpg,NWPU VHR-10 dataset/ground truth/036.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_037,037,NWPU VHR-10 dataset/positive image set/037.jpg,NWPU VHR-10 dataset/ground truth/037.txt,False,train,42,0.7,0.15,0.15
nwpu_background_038,038,NWPU VHR-10 dataset/negative image set/038.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_039,039,NWPU VHR-10 dataset/positive image set/039.jpg,NWPU VHR-10 dataset/ground truth/039.txt,False,train,42,0.7,0.15,0.15
nwpu_background_039,039,NWPU VHR-10 dataset/negative image set/039.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_040,040,NWPU VHR-10 dataset/positive image set/040.jpg,NWPU VHR-10 dataset/ground truth/040.txt,False,train,42,0.7,0.15,0.15
nwpu_background_040,040,NWPU VHR-10 dataset/negative image set/040.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_041,041,NWPU VHR-10 dataset/positive image set/041.jpg,NWPU VHR-10 dataset/ground truth/041.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_042,042,NWPU VHR-10 dataset/positive image set/042.jpg,NWPU VHR-10 dataset/ground truth/042.txt,False,train,42,0.7,0.15,0.15
nwpu_background_042,042,NWPU VHR-10 dataset/negative image set/042.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_043,043,NWPU VHR-10 dataset/positive image set/043.jpg,NWPU VHR-10 dataset/ground truth/043.txt,False,train,42,0.7,0.15,0.15
nwpu_background_043,043,NWPU VHR-10 dataset/negative image set/043.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_044,044,NWPU VHR-10 dataset/negative image set/044.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_045,045,NWPU VHR-10 dataset/positive image set/045.jpg,NWPU VHR-10 dataset/ground truth/045.txt,False,train,42,0.7,0.15,0.15
nwpu_background_045,045,NWPU VHR-10 dataset/negative image set/045.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_046,046,NWPU VHR-10 dataset/positive image set/046.jpg,NWPU VHR-10 dataset/ground truth/046.txt,False,train,42,0.7,0.15,0.15
nwpu_background_046,046,NWPU VHR-10 dataset/negative image set/046.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_047,047,NWPU VHR-10 dataset/positive image set/047.jpg,NWPU VHR-10 dataset/ground truth/047.txt,False,train,42,0.7,0.15,0.15
nwpu_background_047,047,NWPU VHR-10 dataset/negative image set/047.jpg,,True,train,42,0.7,0.15,0.15
nwpu_background_049,049,NWPU VHR-10 dataset/negative image set/049.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_050,050,NWPU VHR-10 dataset/positive image set/050.jpg,NWPU VHR-10 dataset/ground truth/050.txt,False,train,42,0.7,0.15,0.15
nwpu_background_050,050,NWPU VHR-10 dataset/negative image set/050.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_051,051,NWPU VHR-10 dataset/positive image set/051.jpg,NWPU VHR-10 dataset/ground truth/051.txt,False,train,42,0.7,0.15,0.15
nwpu_background_051,051,NWPU VHR-10 dataset/negative image set/051.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_052,052,NWPU VHR-10 dataset/positive image set/052.jpg,NWPU VHR-10 dataset/ground truth/052.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_054,054,NWPU VHR-10 dataset/positive image set/054.jpg,NWPU VHR-10 dataset/ground truth/054.txt,False,train,42,0.7,0.15,0.15
nwpu_background_054,054,NWPU VHR-10 dataset/negative image set/054.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_055,055,NWPU VHR-10 dataset/positive image set/055.jpg,NWPU VHR-10 dataset/ground truth/055.txt,False,train,42,0.7,0.15,0.15
nwpu_positive_056,056,NWPU VHR-10 dataset/positive image set/056.jpg,NWPU VHR-10 dataset/ground truth/056.txt,False,train,42,0.7,0.15,0.15
nwpu_background_056,056,NWPU VHR-10 dataset/negative image set/056.jpg,,True,train,42,0.7,0.15,0.15
nwpu_positive_057,057,NWPU VHR-10 dataset/positive image set/057.jpg,NWPU VHR-10 dataset/ground truth/057.txt,False,train,42,0.7,0.15,0.15
